assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,shots,key_passes,npg,npxG,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,season,adjusted_xg,penalties_order,team_xg,team_deep,team_npxg,opponent_xg,opponent_deep,opponent_npxg
0,0,3,0,0.3,120,0.0,0.0,0.0,0.33,271,1,0,0.0,0.0,2024-03-09,12,1,0,0,0,0,28,0,59434,0,1,2,0.0,1,-1128,349,1477,43,False,0,0,0,0,0.0,4,ARS,1370,1330,BRE,1055,1150,2023,0.0,,0.733239,3.0,0.733239,1.59369,20.0,1.59369
0,0,6,0,1.5,120,0.4,0.4,0.0,0.55,283,1,0,0.9,7.8,2024-03-16,31,21,0,0,0,0,29,0,57627,0,1,2,0.0,1,-520,359,879,43,False,0,0,0,0,0.0,4,BUR,1050,1040,BRE,1055,1150,2023,0.0,,1.25123,8.0,1.25123,2.69776,12.0,1.93659
0,0,6,1,7.0,120,0.04,0.19,0.15,0.26,293,0,0,5.3,8.0,2024-03-30,70,14,0,0,0,0,30,0,58357,1,1,1,38.0,3,-687,342,1029,43,True,0,0,0,0,0.0,4,MUN,1210,1230,BRE,1110,1090,2023,0.075,,3.16487,21.0,3.16487,0.989565,7.0,0.989565
0,0,4,1,1.8,120,0.0300660487264394,0.09,0.0,0.45,303,0,0,1.3,9.4,2024-04-03,63,5,0,0,0,0,31,0,58725,1,0,0,2.0,3,295,1058,763,43,True,0,0,1,0,0.0,4,BHA,1180,1240,BRE,1110,1090,2023,0.0,,0.423299,8.0,0.423299,1.22404,8.0,1.22404
0,0,2,0,0.6,120,0.0464934185147285,0.0,0.0,0.34,311,0,0,0.1,0.2,2024-04-06,9,2,0,0,0,0,32,0,57944,0,3,3,0.0,1,-761,463,1224,43,False,0,0,1,0,0.0,4,AVL,1140,1180,BRE,1055,1150,2023,0.0,,1.42064,3.0,1.42064,1.16333,6.0,1.16333
0,0,6,0,0.3,120,0.0,0.04,0.0,0.11,323,0,0,0.4,2.2,2024-04-13,11,23,0,0,0,0,33,0,58055,0,0,2,1.0,1,53,961,908,43,True,0,0,0,0,0.0,4,SHU,1020,1060,BRE,1110,1090,2023,0.0,,1.09071,5.0,1.09071,0.834498,6.0,0.834498
0,0,1,0,0.8,120,0.0,0.0,0.0,0.3,336,1,0,0.0,0.0,2024-04-20,8,22,0,0,0,0,34,0,57191,0,5,1,0.0,1,-773,666,1439,43,False,0,0,0,0,0.0,4,LUT,1020,1090,BRE,1055,1150,2023,0.0,,3.7809,13.0,3.7809,0.497799,6.0,0.497799
0,0,3,0,10.8,120,0.02,0.02,0.0,0.04,343,0,0,1.5,2.2,2024-04-27,12,8,0,0,0,0,35,0,56681,0,0,1,2.0,1,-673,881,1554,42,False,0,0,0,0,0.0,4,EVE,1125,1065,BRE,1055,1150,2023,0.0,,0.956356,8.0,0.956356,1.21399,10.0,1.21399
0,0,3,0,1.8,120,0.0,0.0,0.0,0.55,352,0,0,0.9,7.6,2024-05-04,24,9,0,0,0,0,36,0,59526,0,0,0,0.0,1,2374,3455,1081,42,True,0,0,0,0,0.0,4,FUL,1180,1170,BRE,1110,1090,2023,0.0,,0.809379,6.0,0.809379,1.45579,3.0,1.45579
0,0,4,0,0.0,120,0.0,0.0,0.0356215089559555,0.12,362,1,0,0.2,2.2,2024-05-11,7,3,0,0,0,0,37,0,72195,0,2,1,0.0,1,9318,11934,2616,42,False,0,1,0,0,0.0356215089559555,4,BOU,1055,1145,BRE,1055,1150,2023,0.0356215089559555,,1.92722,11.0,1.92722,1.07237,11.0,1.07237
0,0,3,0,0.7,120,0.0,0.05,0.05,0.0,372,0,0,2.2,4.4,2024-05-19,6,15,0,0,0,0,38,0,79381,0,4,2,17.0,1,7308,10765,3457,42,True,0,0,0,0,0.0,4,NEW,1210,1355,BRE,1110,1090,2023,0.025,,1.70157,5.0,1.70157,3.65044,12.0,3.65044
