First_Name,Last_Name,Unique_ID,24_id,22_id,23_id,20_id,21_id
Bernardo Mota,Veiga de Carvalho e Silva,954,-1,-1,-1,281,261
Bernardo,Veiga de Carvalho e Silva,342,342,311,344,-1,-1
Jack,Walton,1669,-1,-1,338,-1,-1
Christian,Walton,283,283,-1,-1,503,-1
Joel,Ward,215,215,156,242,134,474
Danny,Ward,308,308,254,-1,223,204
Kell,Watts,1697,-1,-1,431,-1,-1
Caleb,Watts,1072,-1,-1,-1,636,-1
Kelland,Watts,1012,-1,-1,-1,342,-1
Benjamin,White,24,24,10,29,-1,-1
Joe,White,419,419,-1,794,-1,599
Ben,White,733,-1,-1,-1,74,67
Harvey,White,1321,-1,449,-1,-1,668
Joe,Whitworth,1630,-1,-1,243,-1,-1
Joseph,Whitworth,1438,-1,590,-1,-1,-1
Brandon,Williams,984,-1,343,374,318,290
Neco,Williams,437,437,295,467,264,246
Rhys,Williams,334,334,498,-1,594,247
Joe,Willock,420,420,373,432,-1,-1
Joseph,Willock,994,-1,-1,-1,20,19
Callum,Wilson,421,421,356,433,506,296
Harry,Wilson,259,259,212,288,257,-1
Josh,Wilson-Esbrand,1489,-1,322,-1,-1,-1
Joshua,Wilson-Esbrand,1272,-1,-1,-1,-1,604
James,Wright,1400,-1,753,778,-1,-1
Jacob,Wright,671,671,-1,814,-1,-1
Yehor,Yarmoliuk,111,111,-1,-1,-1,-1
Yegor,Yarmoliuk,1574,-1,-1,120,-1,-1
Kadan,Young,656,656,672,865,-1,-1
Ashley,Young,238,238,538,588,-1,52
Eric,da Silva Moreira,428,428,-1,-1,-1,-1
Diego Manuel Jadon,da Silva Moreira,1617,-1,-1,681,-1,-1
Rúben,da Silva Neves,1552,-1,480,-1,-1,-1
Rúben Diogo,da Silva Neves,1165,-1,-1,-1,466,436
