First_Name,Last_Name,Unique_ID,24_id,23_id,22_id
Jacob,Greaves,270,270,-1,-1
Marcus,Myers-Harness,271,271,-1,-1
George,Hirst,272,272,-1,-1
Cameron,Humphreys,273,273,-1,-1
Omari,Giraud-Hutchinson,274,274,-1,-1
Ben,Johnson,275,275,536,471
Freddie,Ladapo,276,276,-1,-1
Massimo,Luongo,277,277,-1,-1
Sam,Morsy,278,278,-1,-1
Corrie,Ndaba,279,279,-1,-1
Cieran,Slicker,280,280,-1,-1
Jack,Taylor,281,281,-1,-1
Axel,Tuanzebe,282,282,-1,-1
Christian,Walton,283,283,-1,-1
Luke,Woolfenden,284,284,-1,-1
Kalvin,Phillips,359,359,364,325
Arijanet,Muric,568,568,172,-1
Jaden,Philogene,569,569,-1,-1
Conor,Townsend,583,583,-1,-1
Sam,Szmodics,611,611,-1,-1
Jens,Cajuste,619,619,-1,-1
Dara,O'Shea,630,630,173,-1
Jack,Clarke,631,631,-1,-1
Chiedozie,Ogbene,632,632,328,-1
Ben,Godfrey,715,715,252,193
Facundo,Buonanotte,117,117,125,679
Jordan,Ayew,192,192,221,159
Odsonne,Edouard,198,198,225,166
Boubakary,Soumaré,285,285,-1,269
Tom,Cannon,286,286,-1,-1
Hamza,Choudhury,287,287,-1,263
Conor,Coady,288,288,-1,475
Patson,Daka,289,289,-1,271
Bobby,De Cordova-Reid,290,290,270,205
Wout,Faes,291,291,-1,612
Michael,Golding,292,292,-1,-1
Mads,Hermansen,293,293,-1,-1
Daniel,Iversen,294,294,-1,548
James,Justin,295,295,-1,268
Victor,Kristiansen,296,296,-1,709
Wanya,Marçal-Madivádua,297,297,-1,-1
Stephy,Mavididi,298,298,-1,-1
Kasey,McAteer,299,299,-1,687
Wilfred,Ndidi,300,300,-1,265
Caleb,Okoli,301,301,-1,-1
Ricardo,Barbosa Pereira,302,302,-1,256
Harry,Souttar,303,303,-1,727
Jakub,Stolarczyk,304,304,-1,-1
Luke,Thomas,305,305,693,270
Jamie,Vardy,306,306,-1,255
Jannik,Vestergaard,307,307,-1,253
Danny,Ward,308,308,-1,254
Harry,Winks,309,309,-1,434
Oliver,Skipp,501,501,515,441
Abdul,Fatawu,570,570,-1,-1
Will,Alves,606,606,-1,-1
Ben,Nelson,616,616,-1,-1
Bilal,El Khannouss,635,635,-1,-1
Henry,Cartwright,694,694,-1,-1
Thomas,Wilson-Brown,708,708,-1,-1
Woyo,Coulibaly,726,726,-1,-1
Alisson,Ramses Becker,310,310,291,281
Trent,Alexander-Arnold,311,311,290,285
Stefan,Bajčetić Maquieira,312,312,-1,-1
Conor,Bradley,313,313,757,-1
Bobby,Clark,315,315,627,584
Darwin,Núñez Ribeiro,316,316,293,297
Diogo,Teixeira da Silva,317,317,294,288
Ben,Doak,318,318,628,665
Harvey,Elliott,319,319,295,294
Endo,Wataru,320,320,-1,-1
Cody,Gakpo,321,321,297,680
Joe,Gomez,322,322,298,-1
Ryan,Gravenberch,323,323,708,-1
Curtis,Jones,324,324,300,291
Caoimhin,Kelleher,325,325,301,289
Ibrahima,Konaté,326,326,302,290
Luis,Díaz,327,327,303,293
Mohamed,Salah,328,328,308,283
Alexis,Mac Allister,329,329,304,116
James,McConnell,330,330,629,-1
Tyler,Morton,331,331,-1,-1
Nathaniel,Phillips,332,332,306,501
Jarell,Quansah,333,333,626,-1
Rhys,Williams,334,334,-1,498
Andrew,Robertson,335,335,307,284
Dominik,Szoboszlai,336,336,309,-1
Konstantinos,Tsimikas,337,337,311,292
Virgil,van Dijk,339,339,313,280
Federico,Chiesa,636,636,-1,-1
Vítezslav,Jaros,660,660,-1,-1
Harvey,Davies,669,669,-1,592
Treymaurice,Nyoni,688,688,743,-1
Amara,Nallo,692,692,837,-1
Jayden,Danns,709,709,824,-1
Manuel,Akanji,340,340,341,610
Nathan,Aké,341,341,342,308
Bernardo,Veiga de Carvalho e Silva,342,342,344,311
Oscar,Bobb,343,343,345,-1
Scott,Carson,344,344,347,502
Kevin,De Bruyne,345,345,349,301
Jérémy,Doku,346,346,678,-1
Ederson,Santana de Moraes,347,347,352,307
Phil,Foden,348,348,353,314
Jack,Grealish,349,349,354,305
Joško,Gvardiol,350,350,616,-1
Erling,Haaland,351,351,355,318
Julián,Álvarez,352,352,343,319
João,Cavaco Cancelo,353,353,-1,-1
Mateo,Kovačić,354,354,356,-1
Rico,Lewis,355,355,358,573
Matheus Luiz,Nunes,356,356,566,589
James,McAtee,357,357,360,317
Stefan,Ortega Moreno,358,358,361,324
Rodrigo 'Rodri',Hernandez,360,360,-1,-1
Rúben,Gato Alves Dias,361,361,350,312
John,Stones,362,362,368,302
Kyle,Walker,363,363,369,299
Sávio 'Savinho',Moreira de Oliveira,571,571,-1,-1
Nico,O'Reilly,607,607,-1,774
Ilkay,Gündogan,625,625,-1,300
Issa,Kaboré,626,626,602,-1
Jacob,Wright,671,671,814,-1
Jahmai,Simpson-Pusey,672,672,-1,-1
Josh,Wilson-Esbrand,675,675,-1,322
Divin,Mubama,698,698,538,669
Max,Alleyne,703,703,-1,-1
Spike,Brits,704,704,-1,-1
Amad,Diallo,364,364,371,550
Antony Matheus,dos Santos,365,365,372,609
Bruno,Borges Fernandes,366,366,373,333
Altay,Bayindir,367,367,695,-1
Carlos Henrique,Casimiro,368,368,376,593
Diogo,Dalot Teixeira,369,369,377,342
Christian,Eriksen,370,370,379,519
Jonny,Evans,371,371,703,249
Alejandro,Garnacho,372,372,382,569
Hannibal,Mejbri,373,373,383,-1
Tom,Heaton,374,374,384,348
Rasmus,Højlund,375,375,617,-1
Victor,Lindelöf,376,376,386,337
Harry,Maguire,377,377,387,330
Kobbie,Mainoo,378,378,388,643
Tyrell,Malacia,379,379,389,504
Lisandro,Martínez,380,380,391,533
Scott,McTominay,381,381,392,338
Mason,Mount,382,382,209,142
André,Onana,383,383,597,-1
Facundo,Pellistri Rebollo,384,384,394,347
Marcus,Rashford,385,385,396,335
Luke,Shaw,387,387,398,332
Joshua,Zirkzee,389,389,-1,-1
Leny,Yoro,572,572,-1,-1
Matthijs,de Ligt,593,593,-1,-1
Noussair,Mazraoui,594,594,-1,-1
Toby,Collyer,613,613,826,-1
Ethan,Wheatley,648,648,850,-1
Manuel,Ugarte,652,652,-1,-1
Jack,Fletcher,667,667,-1,-1
Harry,Amass,670,670,846,-1
Jayce,Fitzgerald,673,673,-1,-1
Godwill,Kukonki,691,691,-1,-1
Alex,Murphy,390,390,634,-1
Miguel,Almirón Rejala,391,391,402,369
Harvey,Barnes,392,392,603,264
Sven,Botman,393,393,405,377
Bruno,Guimarães Rodriguez Moura,394,394,406,374
Dan,Burn,395,395,407,358
Martin,Dúbravka,396,396,-1,-1
Anthony,Gordon,398,398,412,195
Lewis,Hall,399,399,204,661
Isaac,Hayden,400,400,413,-1
Alexander,Isak,401,401,415,594
Jacob,Murphy,402,402,423,365
Joelinton Cássio,Apolinário de Lira,403,403,416,371
Lloyd,Kelly,404,404,70,73
Emil,Krafth,405,405,417,364
Garang,Kuol,406,406,418,683
Jamaal,Lascelles,407,407,419,360
Jamal,Lewis,408,408,420,372
Tino,Livramento,409,409,633,419
Sean,Longstaff,410,410,421,370
Lewis,Miley,411,411,635,741
Odysseas,Vlachodimos,412,412,710,-1
Nick,Pope,413,413,424,376
John,Ruddy,414,414,-1,-1
Fabian,Schär,415,415,427,366
Matt,Targett,416,416,428,367
Sandro,Tonali,417,417,429,-1
Kieran,Trippier,418,418,430,357
Joe,White,419,419,794,-1
Joe,Willock,420,420,432,373
Callum,Wilson,421,421,433,356
Miodrag,Pivaš,574,574,-1,-1
William,Osula,590,590,490,-1
Álex,Moreno Lopera,26,26,-1,-1
Ola,Aina,422,422,-1,-1
Elliot,Anderson,423,423,403,552
Taiwo,Awoniyi,424,424,437,397
Willy,Boly,425,425,439,474
Josh,Bowler,426,426,440,-1
Carlos Miguel,dos Santos Pereira,427,427,-1,-1
Eric,da Silva Moreira,428,428,-1,-1
Danilo,dos Santos de Oliveira,429,429,442,703
Emmanuel,Dennis,430,430,443,585
Nicolás,Domínguez,431,431,712,-1
Anthony,Elanga,432,432,378,344
Morgan,Gibbs-White,433,433,447,493
Callum,Hudson-Odoi,434,434,205,144
Alex,Mighten,435,435,456,395
Murillo,Santiago Costa dos Santos,436,436,696,-1
Neco,Williams,437,437,467,295
Omar,Richards,438,438,461,511
Lewis,O'Brien,439,439,458,524
Andrew,Omobamidele,440,440,711,-1
Jonathan,Panzo,441,441,460,389
Ibrahim,Sangaré,442,442,713,-1
Matz,Sels,443,443,808,-1
Harry,Toffolo,444,444,465,523
Hwang,Ui-jo,446,446,466,-1
Chris,Wood,447,447,468,354
Joe,Worrall,448,448,469,388
Ryan,Yates,449,449,470,387
James,Ward-Prowse,531,531,664,407
Nikola,Milenković,573,573,-1,-1
João Pedro,Ferreira Silva,596,596,-1,-1
Ramón,Sosa,620,620,-1,-1
Felipe,Rodrigues da Silva,653,653,-1,-1
Zach,Abbott,706,706,-1,-1
Wayne,Hennessey,721,721,448,518
Aaron,Ramsdale,14,14,17,15
Cameron,Archer,27,27,33,54
Lesley,Ugochukwu,188,188,613,-1
Ryan,Fraser,397,397,410,359
Carlos,Alcaraz Durán,450,450,-1,-1
Samuel,Amo-Ameyaw,451,451,-1,778
Joe,Aribo,452,452,-1,-1
Adam,Armstrong,453,453,-1,408
Gavin,Bazunu,454,454,-1,422
Jan,Bednarek,455,455,-1,410
Armel,Bella-Kotchap,456,456,-1,423
James,Bree,457,457,-1,716
Shea,Charles,458,458,348,773
Samuel,Edozie,459,459,-1,624
Ronnie,Edwards,460,460,-1,-1
Taylor,Harwood-Bellis,461,461,-1,-1
Kamaldeen,Sulemana,462,462,-1,731
Adam,Lallana,463,463,138,101
Juan,Larios López,464,464,-1,622
Mateusz,Lis,465,465,-1,421
Joe,Lumley,466,466,-1,-1
Ryan,Manning,467,467,-1,-1
Sékou,Mara,468,468,-1,528
Alex,McCarthy,469,469,-1,401
Paul,Onuachu,470,470,-1,732
Will,Smallbone,471,471,-1,415
Jack,Stephens,472,472,-1,404
Ross,Stewart,473,473,-1,-1
Sugawara,Yukinari,474,474,-1,-1
Charlie,Taylor,475,475,178,-1
Kyle,Walker-Peters,476,476,-1,409
Nathan,Wood-Gordon,477,477,-1,-1
Maxwel,Cornet,515,515,527,575
Flynn,Downes,518,518,531,509
Ben,Brereton Díaz,584,584,-1,-1
Tyler,Dibling,608,608,-1,-1
Mateus Gonçalo,Espanha Fernandes,623,623,-1,-1
Joseph,O'Brien-Whitmarsh,693,693,-1,-1
Welington Damascena,Santos,718,718,-1,-1
Joachim,Kayi-Sanda,719,719,-1,-1
Dominic,Solanke-Mitchell,82,82,-1,-1
Ashley,Phillips,478,478,702,-1
Brandon,Austin,479,479,491,451
Rodrigo,Bentancur,480,480,492,440
Lucas,Bergvall,481,481,-1,-1
Yves,Bissouma,482,482,493,444
Bryan,Gil Salvatierra,483,483,494,554
Ben,Davies,484,484,495,432
Alfie,Devine,485,485,-1,452
Radu,Drăgușin,486,486,-1,-1
Emerson,Leite de Souza Junior,487,487,497,445
Fraser,Forster,488,488,498,426
Archie,Gray,489,489,-1,565
Pierre-Emile,Højbjerg,490,490,499,433
Brennan,Johnson,491,491,450,394
Dejan,Kulusevski,492,492,501,446
Giovani,Lo Celso,493,493,503,-1
James,Maddison,494,494,504,261
Pedro,Porro,495,495,506,733
Sergio,Reguilón,496,496,508,438
Richarlison,de Andrade,497,497,509,454
Cristian,Romero,498,498,511,443
Pape Matar,Sarr,499,499,513,450
Dane,Scarlett,500,500,640,447
Manor,Solomon,502,502,583,562
Son,Heung-min,503,503,516,428
Djed,Spence,504,504,517,522
Destiny,Udogie,505,505,519,-1
Micky,van de Ven,506,506,639,-1
Alejo,Véliz,507,507,641,-1
Guglielmo,Vicario,508,508,520,-1
Timo,Werner,509,509,776,137
Alfie,Whiteman,510,510,521,-1
Will,Lankshear,609,609,-1,-1
Mikey,Moore,610,610,860,-1
Wilson,Odobert,612,612,660,-1
Callum,Olusesi,683,683,-1,-1
Malachi,Hardy,684,684,-1,-1
Luca,Williams-Barnett,689,689,-1,-1
Alfie,Dorrington,699,699,740,-1
Maeson,King,700,700,-1,-1
Antonín,Kinsky,716,716,-1,-1
Min-Hyeok,Yang,717,717,-1,-1
Aaron,Wan-Bissaka,388,388,401,341
Edson,Álvarez Velázquez,511,511,642,-1
Michail,Antonio,512,512,523,458
Alphonse,Areola,513,513,524,473
Jarrod,Bowen,514,514,526,465
Vladimír,Coufal,516,516,528,-1
Aaron,Cresswell,517,517,530,457
George,Earthy,519,519,829,-1
Emerson,Palmieri dos Santos,520,520,532,545
Łukasz,Fabiański,521,521,-1,-1
Wes,Foderingham,522,522,482,-1
Danny,Ings,523,523,535,30
Max,Kilman,524,524,563,484
Mohammed,Kudus,525,525,689,-1
Luis Guilherme,Lira dos Santos,526,526,-1,-1
Lucas,Tolentino Coelho de Lima,527,527,539,603
Konstantinos,Mavropanos,528,528,676,-1
Nayef,Aguerd,529,529,522,472
Tomáš,Souček,530,530,542,-1
Kurt,Zouma,532,532,544,461
Andy,Irving,576,576,-1,-1
Crysencio,Summerville,587,587,-1,240
Guido,Rodríguez,588,588,-1,-1
Niclas,Füllkrug,589,589,-1,-1
Jean-Clair,Todibo,591,591,-1,-1
Kaelan,Casey,643,643,774,746
Carlos,Soler,654,654,-1,-1
Ollie,Scarles,677,677,-1,-1
Ezra,Mayers,686,686,-1,-1
Lewis,Orford,701,701,773,-1
Sam,Johnstone,204,204,230,175
Rayan,Aït-Nouri,533,533,545,487
Boubacar,Traoré,534,534,574,629
Jean-Ricner,Bellegarde,535,535,715,-1
Daniel,Bentley,536,536,546,717
Francisco Jorge,Tomás Oliveira,537,537,549,490
Tawanda,Chirewa,538,538,750,-1
Leon,Chiwome,539,539,836,-1
Luke,Cundle,540,540,550,485
Matheus,Santos Carneiro Da Cunha,541,541,590,682
Craig,Dawson,542,542,551,459
Matt,Doherty,543,543,598,429
Tommy,Doyle,544,544,351,-1
Fábio,Silva,545,545,552,-1
Nathan,Fraser,546,546,704,657
Enso,González,547,547,698,-1
Gonçalo Manuel,Ganchinho Guedes,548,548,554,579
Hugo,Bueno López,549,549,548,558
Hwang,Hee-chan,550,550,557,481
Joe,Hodge,551,551,555,-1
Ki-Jana,Hoever,552,552,556,-1
João Victor,Gomes da Silva,553,553,559,721
José,Malheiro de Sá,554,554,569,478
