First_Name,Last_Name,Unique_ID,24_id,23_id,22_id,Understat_ID,Full_Name
Jay,Stansfield,256,256,651,219,10718,Jay Stansfield
Kenny,Tete,257,257,285,215,5973,Kenny Tete
Carlos Vinícius,Alves Morais,258,258,287,618,7395,Carlos Vinícius Alves Morais
Harry,Wilson,259,259,288,212,5596,Harry Wilson
Ryan,Sessegnon,579,579,514,436,6837,Ryan Sessegnon
Jorge,Cuenca Barreno,586,586,-1,-1,8489,Jorge Cuenca Barreno
Josh,King,604,604,-1,-1,12410,Josh King
Martial,Godo,605,605,-1,641,11164,Martial Godo
Sander,Berge,622,622,475,-1,8285,Sander Berge
Samuel,Amissah,690,690,-1,-1,,Samuel Amissah
Ali,Al-Hamadi,260,260,-1,-1,12751,Ali Al-Hamadi
Elkan,Baggott,261,261,-1,-1,,Elkan Baggott
Nathan,Broadhead,262,262,-1,-1,9406,Nathan Broadhead
Cameron,Burgess,263,263,-1,-1,12755,Cameron Burgess
Wes,Burns,264,264,-1,-1,12749,Wes Burns
Conor,Chaplin,265,265,-1,-1,12750,Conor Chaplin
Harry,Clarke,266,266,-1,-1,13133,Harry Clarke
Leif,Davis,267,267,-1,-1,8919,Leif Davis
Liam,Delap,268,268,-1,323,8868,Liam Delap
George,Edmundson,269,269,-1,-1,12947,George Edmundson
Jacob,Greaves,270,270,-1,-1,12745,Jacob Greaves
Marcus,Myers-Harness,271,271,-1,-1,,Marcus Myers-Harness
George,Hirst,272,272,-1,-1,8563,George Hirst
Cameron,Humphreys,273,273,-1,-1,,Cameron Humphreys
Omari,Giraud-Hutchinson,274,274,-1,653,10348,Omari Giraud-Hutchinson
Ben,Johnson,275,275,536,471,6424,Ben Johnson
Freddie,Ladapo,276,276,-1,-1,,Freddie Ladapo
Massimo,Luongo,277,277,-1,-1,12747,Massimo Luongo
Sam,Morsy,278,278,-1,-1,12748,Sam Morsy
Corrie,Ndaba,279,279,-1,-1,,Corrie Ndaba
Cieran,Slicker,280,280,-1,-1,,Cieran Slicker
Jack,Taylor,281,281,-1,-1,12754,Jack Taylor
Axel,Tuanzebe,282,282,-1,-1,934,Axel Tuanzebe
Christian,Walton,283,283,-1,-1,9251,Christian Walton
Luke,Woolfenden,284,284,-1,-1,12746,Luke Woolfenden
Kalvin,Phillips,359,359,364,325,8719,Kalvin Phillips
Arijanet,Muric,568,568,172,-1,7027,Arijanet Muric
Jaden,Philogene,569,569,54,55,9415,Jaden Philogene
Conor,Townsend,583,583,-1,-1,8905,Conor Townsend
Sam,Szmodics,611,611,-1,-1,12752,Sam Szmodics
Jens,Cajuste,619,619,-1,-1,10301,Jens Cajuste
Dara,O'Shea,630,630,173,-1,8756,Dara O'Shea
Jack,Clarke,631,631,-1,-1,13019,Jack Clarke
Chiedozie,Ogbene,632,632,328,-1,11719,Chiedozie Ogbene
Ben,Godfrey,715,715,252,193,7689,Ben Godfrey
Facundo,Buonanotte,117,117,125,679,11362,Facundo Buonanotte
Jordan,Ayew,192,192,221,159,672,Jordan Ayew
Odsonne,Edouard,198,198,225,166,3697,Odsonne Edouard
Boubakary,Soumaré,285,285,-1,269,6310,Boubakary Soumaré
Tom,Cannon,286,286,649,662,11232,Tom Cannon
Hamza,Choudhury,287,287,-1,263,6418,Hamza Choudhury
Conor,Coady,288,288,-1,475,6851,Conor Coady
Patson,Daka,289,289,-1,271,9738,Patson Daka
Bobby,De Cordova-Reid,290,290,270,205,6827,Bobby De Cordova-Reid
Wout,Faes,291,291,-1,612,8646,Wout Faes
Michael,Golding,292,292,-1,-1,,Michael Golding
Mads,Hermansen,293,293,-1,-1,12910,Mads Hermansen
Daniel,Iversen,294,294,-1,548,10808,Daniel Iversen
James,Justin,295,295,-1,268,7753,James Justin
Victor,Kristiansen,296,296,-1,709,11367,Victor Kristiansen
Wanya,Marçal-Madivádua,297,297,-1,735,,Wanya Marçal-Madivádua
Stephy,Mavididi,298,298,-1,-1,7484,Stephy Mavididi
