id,first_name,second_name,value,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
641,Oliwier,Zych,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,1
641,Oliwier,Zych,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,1
641,Oliwier,Zych,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,1120,1120,1200,1080,AVL,LEI,20,1,24,1
75,Alex,Paulsen,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,1
75,Alex,Paulsen,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,1
75,Alex,Paulsen,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,1070,1100,1130,1100,BOU,EVE,20,1,24,1
84,Mark,Travers,44,,0.0,0.0,0.0,0.0,0.0,0.6,0.312,0.6,18.0,2.0,1.25,0.42125,1.0,22.5,3.75,1.0,0.3458333333333334,0.8333333333333334,22.5,3.1666666666666665,0.0,0.0,90.0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,1
84,Mark,Travers,44,,0.0,0.0,0.0,0.0,0.0,0.6,0.312,0.6,18.0,2.0,1.25,0.42125,1.0,22.5,3.75,1.0,0.3458333333333334,0.8333333333333334,22.5,3.1666666666666665,0.0,0.0,90.0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,1
84,Mark,Travers,44,,0.0,0.0,0.0,0.0,0.0,0.6,0.312,0.6,18.0,2.0,1.25,0.42125,1.0,22.5,3.75,1.0,0.3458333333333334,0.8333333333333334,22.5,3.1666666666666665,0.0,0.0,90.0,8,3,1070,1100,1130,1100,BOU,EVE,20,1,24,1
152,Kepa,Arrizabalaga,45,,2.333333333333333,0.6599999999999998,3.0,90.0,11.666666666666666,2.0,0.692,2.2,72.0,7.8,1.5,0.61625,2.375,67.5,8.875,2.4166666666666665,0.7966666666666667,2.333333333333333,67.5,8.666666666666666,0.1111111111111111,0.0,90.0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,1
152,Kepa,Arrizabalaga,45,,2.333333333333333,0.6599999999999998,3.0,90.0,11.666666666666666,2.0,0.692,2.2,72.0,7.8,1.5,0.61625,2.375,67.5,8.875,2.4166666666666665,0.7966666666666667,2.333333333333333,67.5,8.666666666666666,0.1111111111111111,0.0,90.0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,1
152,Kepa,Arrizabalaga,45,,2.333333333333333,0.6599999999999998,3.0,90.0,11.666666666666666,2.0,0.692,2.2,72.0,7.8,1.5,0.61625,2.375,67.5,8.875,2.4166666666666665,0.7966666666666667,2.333333333333333,67.5,8.666666666666666,0.1111111111111111,0.0,90.0,8,3,1070,1100,1130,1100,BOU,EVE,20,1,24,1
599,Will,Dennis,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,1
