id,first_name,second_name,position,value,team_id,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes
280,Cieran,Slicker,GK,40,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Christian,Walton,GK,43,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,Arijanet,Muric,GK,44,10,,3.0,1.3733333333333333,2.6666666666666665,90.0,13.0,3.6,1.498,2.6,90.0,13.2,4.875,2.14125,2.5,90.0,11.875,4.25,1.9208333333333334,3.0833333333333335,90.0,12.666666666666666,0.07692307692307693,0.0,90.0
293,Mads,Hermansen,GK,45,11,,4.333333333333333,2.75,2.0,90.0,8.333333333333334,3.0,1.9899999999999998,1.8,90.0,5.8,3.125,1.9987500000000002,2.375,90.0,8.875,3.9166666666666665,2.1491666666666664,2.4166666666666665,90.0,9.916666666666666,0.0,0.0,90.0
294,Daniel,Iversen,GK,40,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Jakub,Stolarczyk,GK,40,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Danny,Ward,GK,40,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Alisson,Ramses Becker,GK,54,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,1.25,9.75,4.0,0.9166666666666666,0.24416666666666667,1.8333333333333333,29.0,6.5,0.0,0.0,0.0
325,Caoimhin,Kelleher,GK,46,12,,3.0,1.3966666666666665,5.333333333333333,90.0,14.666666666666666,3.0,1.316,5.0,90.0,15.8,2.125,1.075,3.5,78.75,11.125,2.0,0.8066666666666666,3.0833333333333335,60.0,10.583333333333334,0.0,0.125,90.0
660,Vítezslav,Jaros,GK,40,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0175,0.125,1.375,0.75,0.1,0.014000000000000002,0.1,1.1,0.6,0.0,0.0,0.0
