id,first_name,second_name,position
352,Julián,Álvarez,FWD
921,Luke,Mbete-Tabu,DEF
675,Josh,Wilson-Esbrand,DEF
268,Liam,Delap,FWD
358,Stefan,Ortega Moreno,GK
359,Kalvin,Phillips,MID
344,Scott,Carson,GK
355,Rico,Lewis,DEF
922,Sergio,Gómez,DEF
923,Claudio,Gomes,MID
924,Ben,Knight,MID
340,Manuel,Akanji,DEF
925,Máximo,Perrone,MID
926,Alex,Robertson,MID
458,Shea,Charles,MID
607,Nico,O'Reilly,MID
927,Jack,Butland,GK
928,Cristiano Ronaldo,dos Santos Aveiro,FWD
929,David,De Gea Quintana,GK
930,Phil,Jones,DEF
931,Raphaël,Varane,DEF
377,Harry,Maguire,DEF
932,Frederico,Rodrigues de Paula Santos,MID
387,Luke,Shaw,DEF
366,Bruno,Borges Fernandes,MID
933,Alex,Telles,DEF
385,Marcus,Rashford,MID
934,Donny,van de Beek,MID
376,Victor,Lindelöf,DEF
381,Scott,McTominay,MID
935,Eric,Bailly,DEF
386,Jadon,Sancho,MID
388,Aaron,Wan-Bissaka,DEF
369,Diogo,Dalot Teixeira,DEF
936,Brandon,Williams,DEF
432,Anthony,Elanga,MID
937,Anthony,Martial,FWD
384,Facundo,Pellistri Rebollo,MID
374,Tom,Heaton,GK
379,Tyrell,Malacia,DEF
370,Christian,Eriksen,MID
380,Lisandro,Martínez,DEF
364,Amad,Diallo,MID
938,Zidane,Iqbal,MID
372,Alejandro,Garnacho,MID
368,Carlos Henrique,Casimiro,MID
365,Antony Matheus,dos Santos,MID
939,Matej,Kovár,GK
378,Kobbie,Mainoo,MID
940,Nathan,Bishop,GK
941,Shola,Shoretire,FWD
942,Rhys,Bennett,DEF
943,Wout,Weghorst,FWD
944,Marcel,Sabitzer,MID
945,Marc,Jurado Gomez,DEF
398,Anthony,Gordon,MID
946,Matt,Ritchie,DEF
947,Federico,Fernández,DEF
948,Ciaran,Clark,DEF
949,Karl,Darlow,GK
396,Martin,Dúbravka,GK
421,Callum,Wilson,FWD
418,Kieran,Trippier,DEF
395,Dan,Burn,DEF
397,Ryan,Fraser,MID
407,Jamaal,Lascelles,DEF
951,Dwight,Gayle,FWD
952,Paul,Dummett,DEF
953,Javier,Manquillo Gaitán,DEF
405,Emil,Krafth,DEF
402,Jacob,Murphy,MID
415,Fabian,Schär,DEF
416,Matt,Targett,DEF
954,Allan,Saint-Maximin,MID
391,Miguel,Almirón Rejala,MID
410,Sean,Longstaff,MID
403,Joelinton Cássio,Apolinário de Lira,MID
408,Jamal,Lewis,DEF
420,Joe,Willock,MID
394,Bruno,Guimarães Rodriguez Moura,MID
955,Jeff,Hendrick,MID
413,Nick,Pope,GK
393,Sven,Botman,DEF
423,Elliot,Anderson,MID
956,Harrison,Ashby,DEF
401,Alexander,Isak,FWD
957,Loris,Karius,GK
406,Garang,Kuol,MID
411,Lewis,Miley,MID
958,Mark,Gillespie,GK
437,Neco,Williams,DEF
959,Jonjo,Shelvey,MID
447,Chris,Wood,FWD
960,Harry,Arter,MID
961,Steve,Cook,DEF
962,Lyle,Taylor,FWD
963,Jack,Colback,MID
964,Brice,Samba,GK
965,Carlos,Ribeiro Dias,MID
966,Joe,Lolley,MID
967,Scott,McKenna,DEF
968,Mohamed,Dräger,DEF
449,Ryan,Yates,MID
448,Joe,Worrall,DEF
441,Jonathan,Panzo,DEF
969,Xande,Nascimento da Costa Silva,MID
970,Sam,Surridge,FWD
971,Richie,Laryea,DEF
972,Loïc,Mbe Soh,DEF
491,Brennan,Johnson,FWD
435,Alex,Mighten,MID
973,Braian,Ojeda Rodríguez,MID
424,Taiwo,Awoniyi,FWD
201,Dean,Henderson,GK
974,Giulian,Biancone,DEF
425,Willy,Boly,DEF
433,Morgan,Gibbs-White,MID
975,Moussa,Niakhaté,DEF
438,Omar,Richards,DEF
976,Wayne,Hennessey,GK
444,Harry,Toffolo,DEF
439,Lewis,O'Brien,MID
977,Jesse,Lingard,MID
651,Orel,Mangala,MID
978,Oliver,Hammond,MID
979,Remo,Freuler,MID
980,Cheikhou,Kouyaté,MID
430,Emmanuel,Dennis,FWD
981,Renan Augusto,Lodi dos Santos,DEF
982,Loïc,Badé,DEF
983,Serge,Aurier,DEF
984,Dale,Taylor,FWD
985,Jordan,Smith,GK
986,Gustavo Henrique,Furtado Scarpa,MID
429,Danilo,dos Santos de Oliveira,MID
987,Keylor,Navas,GK
988,Felipe Augusto,de Almeida Monteiro,DEF
989,André,Ayew,MID
990,George,Shelvey,GK
991,Ainsley,Maitland-Niles,MID
174,Roméo,Lavia,MID
992,Theo,Walcott,MID
469,Alex,McCarthy,GK
993,Oriol,Romeu Vidal,MID
994,Nathan,Redmond,MID
995,Stuart,Armstrong,MID
996,Mohamed,Elyounoussi,MID
531,James,Ward-Prowse,MID
453,Adam,Armstrong,FWD
476,Kyle,Walker-Peters,DEF
455,Jan,Bednarek,DEF
997,Che,Adams,FWD
998,Nathan,Tella,MID
999,Lyanco,Silveira Neves Vojnovic,DEF
1000,Yan,Valery,DEF
471,Will,Smallbone,MID
1001,Ibrahima,Diallo,MID
1002,Romain,Perraud,DEF
1003,Moussa,Djenepo,MID
409,Tino,Livramento,DEF
1004,Mohammed,Salisu,DEF
465,Mateusz,Lis,GK
454,Gavin,Bazunu,GK
456,Armel,Bella-Kotchap,DEF
1005,Willy,Caballero,GK
452,Joe,Aribo,MID
468,Sékou,Mara,FWD
464,Juan,Larios López,DEF
1007,Duje,Caleta-Car,DEF
459,Samuel,Edozie,MID
1008,Lewis,Payne,MID
1009,Ryan,Finnigan,MID
1010,Jimmy,Morgan,FWD
1011,Mislav,Orsic,MID
450,Carlos,Alcaraz Durán,MID
457,James,Bree,DEF
462,Kamaldeen,Sulemana,MID
470,Paul,Onuachu,FWD
1013,Kamari,Doyle,MID
1014,Dominic,Ballard,FWD
451,Samuel,Amo-Ameyaw,MID
1015,Hugo,Lloris,GK
488,Fraser,Forster,GK
1016,Harry,Kane,FWD
503,Son,Heung-min,MID
543,Matt,Doherty,DEF
1017,Eric,Dier,DEF
1018,Lucas,Rodrigues Moura da Silva,MID
484,Ben,Davies,DEF
484,Ben,Davies,DEF
490,Pierre-Emile,Højbjerg,MID
309,Harry,Winks,MID
1019,Davinson,Sánchez,DEF
579,Ryan,Sessegnon,DEF
1020,Steven,Bergwijn,MID
496,Sergio,Reguilón,DEF
1021,Japhet,Tanganga,DEF
480,Rodrigo,Bentancur,MID
501,Oliver,Skipp,MID
1022,Joe,Rodon,DEF
498,Cristian,Romero,DEF
482,Yves,Bissouma,MID
487,Emerson,Leite de Souza Junior,DEF
492,Dejan,Kulusevski,MID
500,Dane,Scarlett,FWD
1023,Ivan,Perišić,DEF
1024,Harvey,White,MID
499,Pape Matar,Sarr,MID
479,Brandon,Austin,GK
485,Alfie,Devine,MID
1025,Troy,Parrott,FWD
497,Richarlison,de Andrade,FWD
1026,Clément,Lenglet,DEF
504,Djed,Spence,DEF
483,Bryan,Gil Salvatierra,MID
1027,Arnaut,Danjuma,MID
495,Pedro,Porro,DEF
1028,Romaine,Mundle,MID
1029,George,Abbott,MID
1030,Matthew,Craig,MID
1031,Yago,de Santiago Alonso,MID
523,Danny,Ings,FWD
521,Łukasz,Fabiański,GK
1033,Angelo,Ogbonna,DEF
517,Aaron,Cresswell,DEF
512,Michail,Antonio,FWD
1034,Manuel,Lanzini,MID
532,Kurt,Zouma,DEF
1035,Arthur,Masuaku,DEF
516,Vladimír,Coufal,DEF
1037,Saïd,Benrahma,MID
514,Jarrod,Bowen,MID
1038,Nikola,Vlasic,MID
16,Declan,Rice,MID
530,Tomáš,Souček,MID
1040,Pablo,Fornals Malla,MID
275,Ben,Johnson,DEF
529,Nayef,Aguerd,DEF
513,Alphonse,Areola,GK
518,Flynn,Downes,MID
1041,Gianluca,Scamacca,FWD
520,Emerson,Palmieri dos Santos,DEF
1042,Conor,Coventry,MID
1043,Armstrong,Oko-Flex,MID
515,Maxwel,Cornet,MID
1044,Thilo,Kehrer,DEF
527,Lucas,Tolentino Coelho de Lima,MID
1045,Divin,Mubama,FWD
1046,Joseph,Anang,GK
1047,Krisztián,Hegyi,GK
643,Kaelan,Casey,DEF
542,Craig,Dawson,DEF
252,Raúl,Jiménez,FWD
1048,Jonathan,Castro Otto,DEF
554,José,Malheiro de Sá,GK
1049,Rúben,da Silva Neves,MID
550,Hwang,Hee-chan,MID
559,Nélson,Cabral Semedo,DEF
562,Daniel,Castelo Podence,MID
524,Max,Kilman,DEF
540,Luke,Cundle,MID
560,Pedro,Lomba Neto,MID
533,Rayan,Aït-Nouri,DEF
545,Fábio,Silva,FWD
567,Toti António,Gomes,DEF
537,Francisco Jorge,Tomás Oliveira,MID
239,Adama,Traoré,MID
1052,Matija,Šarkić,GK
558,Yerson,Mosquera,DEF
1054,João Filipe Iria,Santos Moutinho,MID
88,Nathan,Collins,DEF
1055,Jackson,Smith,GK
549,Hugo,Bueno López,DEF
551,Joe,Hodge,MID
1057,Connor,Ronan,MID
1058,Chem,Campbell,MID
548,Gonçalo Manuel,Ganchinho Guedes,MID
356,Matheus Luiz,Nunes,MID
555,Saša,Kalajdžić,FWD
1060,Diego,Da Silva Costa,FWD
534,Boubacar,Traoré,MID
546,Nathan,Fraser,FWD
1061,Harvey,Griffiths,MID
1062,Dexter,Lembikisa,DEF
541,Matheus,Santos Carneiro Da Cunha,FWD
557,Mario,Lemina,MID
565,Pablo,Sarabia,MID
536,Daniel,Bentley,GK
553,João Victor,Gomes da Silva,MID
