Unique_ID,Full_Name,24_id,Understat_ID
605,Martial Godo,605,-1
622,Sander Berge,622,8285
690,Samuel Amissah,690,-1
260,Ali Al-Hamadi,260,12751
261,Elkan Baggott,261,-1
262,Nathan Broadhead,262,9406
263,Cameron Burgess,263,12755
264,Wes Burns,264,12749
265,Conor Chaplin,265,12750
266,Harry Clarke,266,13133
267,Leif Davis,267,8919
268,Liam Delap,268,8868
269,George Edmundson,269,12947
270,Jacob Greaves,270,12745
271,Marcus Myers-Harness,271,-1
272,George Hirst,272,8563
273,Cameron Humphreys,273,-1
274,Omari Giraud-Hutchinson,274,-1
275,Ben Johnson,275,6424
276,Freddie Ladapo,276,-1
277,Massimo Luongo,277,12747
278,Sam Morsy,278,12748
279,Corrie Ndaba,279,-1
280,Cieran Slicker,280,-1
281,Jack Taylor,281,12754
282,Axel Tuanzebe,282,934
283,Christian Walton,283,9251
284,Luke Woolfenden,284,12746
359,Kalvin Phillips,359,8719
568,Arijanet Muric,568,7027
583,Conor Townsend,583,8905
611,Sam Szmodics,611,12752
619,Jens Cajuste,619,10301
630,Dara O'Shea,630,8756
631,Jack Clarke,631,13019
632,Chiedozie Ogbene,632,11719
117,Facundo Buonanotte,117,11362
192,Jordan Ayew,192,672
198,Odsonne Edouard,198,3697
285,Boubakary Soumaré,285,6310
286,Tom Cannon,286,11232
287,Hamza Choudhury,287,6418
288,Conor Coady,288,6851
289,Patson Daka,289,9738
290,Bobby De Cordova-Reid,290,6827
291,Wout Faes,291,8646
292,Michael Golding,292,-1
293,Mads Hermansen,293,12910
294,Daniel Iversen,294,-1
295,James Justin,295,7753
296,Victor Kristiansen,296,11367
297,Wanya Marçal-Madivádua,297,-1
298,Stephy Mavididi,298,7484
299,Kasey McAteer,299,10166
300,Wilfred Ndidi,300,5545
301,Caleb Okoli,301,7333
302,Ricardo Barbosa Pereira,302,3303
303,Harry Souttar,303,-1
304,Jakub Stolarczyk,304,-1
305,Luke Thomas,305,8562
306,Jamie Vardy,306,755
307,Jannik Vestergaard,307,111
308,Danny Ward,308,-1
309,Harry Winks,309,971
501,Oliver Skipp,501,7198
570,Abdul Fatawu,570,12911
606,Will Alves,606,-1
616,Ben Nelson,616,-1
635,Bilal El Khannouss,635,13020
310,Alisson Ramses Becker,310,1257
311,Trent Alexander-Arnold,311,1791
312,Stefan Bajčetić Maquieira,312,10723
313,Conor Bradley,313,10120
315,Bobby Clark,315,10997
316,Darwin Núñez Ribeiro,316,10720
317,Diogo Teixeira da Silva,317,6854
318,Ben Doak,318,11231
319,Harvey Elliott,319,7546
320,Endo Wataru,320,8808
321,Cody Gakpo,321,11296
322,Joe Gomez,322,987
323,Ryan Gravenberch,323,10697
324,Curtis Jones,324,6665
325,Caoimhin Kelleher,325,7904
326,Ibrahima Konaté,326,6326
327,Luis Díaz,327,10408
328,Mohamed Salah,328,1250
329,Alexis Mac Allister,329,8379
330,James McConnell,330,11811
331,Tyler Morton,331,-1
332,Nathaniel Phillips,332,8228
333,Jarell Quansah,333,10187
334,Rhys Williams,334,-1
335,Andrew Robertson,335,1688
336,Dominik Szoboszlai,336,9788
337,Konstantinos Tsimikas,337,8852
339,Virgil van Dijk,339,833
636,Federico Chiesa,636,1433
660,Vítezslav Jaros,660,13103
669,Harvey Davies,669,-1
688,Treymaurice Nyoni,688,-1
692,Amara Nallo,692,-1
340,Manuel Akanji,340,6490
341,Nathan Aké,341,579
342,Bernardo Veiga de Carvalho e Silva,342,3635
343,Oscar Bobb,343,11903
344,Scott Carson,344,-1
345,Kevin De Bruyne,345,447
346,Jérémy Doku,346,8981
347,Ederson Santana de Moraes,347,6054
348,Phil Foden,348,6055
349,Jack Grealish,349,675
350,Joško Gvardiol,350,9790
351,Erling Haaland,351,8260
352,Julián Álvarez,352,10846
353,João Cavaco Cancelo,353,2379
354,Mateo Kovačić,354,2254
355,Rico Lewis,355,10847
356,Matheus Luiz Nunes,356,11000
357,James McAtee,357,10126
358,Stefan Ortega Moreno,358,8786
360,Rodrigo 'Rodri' Hernandez,360,2496
361,Rúben Gato Alves Dias,361,8961
362,John Stones,362,586
363,Kyle Walker,363,638
571,Sávio 'Savinho' Moreira de Oliveira,571,11735
607,Nico O'Reilly,607,-1
625,Ilkay Gündogan,625,314
626,Issa Kaboré,626,9619
671,Jacob Wright,671,-1
672,Jahmai Simpson-Pusey,672,13185
675,Josh Wilson-Esbrand,675,-1
364,Amad Diallo,364,8127
365,Antony Matheus dos Santos,365,11094
366,Bruno Borges Fernandes,366,1228
367,Altay Bayindir,367,-1
368,Carlos Henrique Casimiro,368,2248
369,Diogo Dalot Teixeira,369,7281
370,Christian Eriksen,370,646
371,Jonny Evans,371,807
372,Alejandro Garnacho,372,10552
373,Hannibal Mejbri,373,9558
374,Tom Heaton,374,-1
375,Rasmus Højlund,375,11055
376,Victor Lindelöf,376,6080
377,Harry Maguire,377,1687
378,Kobbie Mainoo,378,11174
379,Tyrell Malacia,379,10803
380,Lisandro Martínez,380,10802
381,Scott McTominay,381,5560
382,Mason Mount,382,7768
383,André Onana,383,10913
384,Facundo Pellistri Rebollo,384,9324
385,Marcus Rashford,385,556
387,Luke Shaw,387,1006
389,Joshua Zirkzee,389,8044
572,Leny Yoro,572,10564
593,Matthijs de Ligt,593,7902
594,Noussair Mazraoui,594,10696
613,Toby Collyer,613,12461
648,Ethan Wheatley,648,12568
652,Manuel Ugarte,652,11766
667,Jack Fletcher,667,-1
670,Harry Amass,670,-1
673,Jayce Fitzgerald,673,-1
691,Godwill Kukonki,691,-1
390,Alex Murphy,390,12199
391,Miguel Almirón Rejala,391,7420
392,Harvey Barnes,392,6681
393,Sven Botman,393,8635
394,Bruno Guimarães Rodriguez Moura,394,8327
395,Dan Burn,395,7382
396,Martin Dúbravka,396,6532
398,Anthony Gordon,398,8150
399,Lewis Hall,399,10216
400,Isaac Hayden,400,-1
401,Alexander Isak,401,5232
402,Jacob Murphy,402,6063
403,Joelinton Cássio Apolinário de Lira,403,87
404,Lloyd Kelly,404,8090
405,Emil Krafth,405,1545
406,Garang Kuol,406,-1
407,Jamaal Lascelles,407,766
408,Jamal Lewis,408,7691
409,Tino Livramento,409,9512
410,Sean Longstaff,410,7078
411,Lewis Miley,411,11386
412,Odysseas Vlachodimos,412,375
413,Nick Pope,413,5552
414,John Ruddy,414,-1
415,Fabian Schär,415,76
416,Matt Targett,416,884
417,Sandro Tonali,417,7958
418,Kieran Trippier,418,652
419,Joe White,419,9959
420,Joe Willock,420,6630
421,Callum Wilson,421,468
574,Miodrag Pivaš,574,-1
590,William Osula,590,9556
26,Álex Moreno Lopera,26,4120
422,Ola Aina,422,725
423,Elliot Anderson,423,9154
424,Taiwo Awoniyi,424,7814
425,Willy Boly,425,6850
426,Josh Bowler,426,-1
427,Carlos Miguel dos Santos Pereira,427,-1
428,Eric da Silva Moreira,428,12765
429,Danilo dos Santos de Oliveira,429,11317
430,Emmanuel Dennis,430,9301
431,Nicolás Domínguez,431,8252
432,Anthony Elanga,432,9524
433,Morgan Gibbs-White,433,6857
434,Callum Hudson-Odoi,434,6456
435,Alex Mighten,435,10761
436,Murillo Santiago Costa dos Santos,436,12123
437,Neco Williams,437,8204
438,Omar Richards,438,-1
439,Lewis O'Brien,439,10759
440,Andrew Omobamidele,440,9833
441,Jonathan Panzo,441,-1
442,Ibrahim Sangaré,442,5722
443,Matz Sels,443,6903
444,Harry Toffolo,444,10758
446,Hwang Ui-jo,446,-1
447,Chris Wood,447,4456
448,Joe Worrall,448,10756
449,Ryan Yates,449,11003
531,James Ward-Prowse,531,843
573,Nikola Milenković,573,6174
596,João Pedro Ferreira Silva,596,8272
620,Ramón Sosa,620,13021
653,Felipe Rodrigues da Silva,653,7921
14,Aaron Ramsdale,14,5603
27,Cameron Archer,27,9912
188,Lesley Ugochukwu,188,9451
397,Ryan Fraser,397,1683
450,Carlos Alcaraz Durán,450,11297
451,Samuel Amo-Ameyaw,451,11618
452,Joe Aribo,452,10766
453,Adam Armstrong,453,4419
454,Gavin Bazunu,454,-1
455,Jan Bednarek,455,6042
456,Armel Bella-Kotchap,456,-1
457,James Bree,457,11359
458,Shea Charles,458,11594
459,Samuel Edozie,459,10072
460,Ronnie Edwards,460,13239
461,Taylor Harwood-Bellis,461,8495
462,Kamaldeen Sulemana,462,9630
463,Adam Lallana,463,486
464,Juan Larios López,464,-1
465,Mateusz Lis,465,-1
466,Joe Lumley,466,12762
467,Ryan Manning,467,13134
468,Sékou Mara,468,-1
469,Alex McCarthy,469,635
470,Paul Onuachu,470,11360
471,Will Smallbone,471,8224
472,Jack Stephens,472,1735
473,Ross Stewart,473,13060
474,Sugawara Yukinari,474,12761
475,Charlie Taylor,475,6044
476,Kyle Walker-Peters,476,885
477,Nathan Wood-Gordon,477,12763
515,Maxwel Cornet,515,3278
518,Flynn Downes,518,10845
584,Ben Brereton Díaz,584,11815
608,Tyler Dibling,608,10586
623,Mateus Gonçalo Espanha Fernandes,623,12948
693,Joseph O'Brien-Whitmarsh,693,-1
82,Dominic Solanke-Mitchell,82,1679
478,Ashley Phillips,478,-1
479,Brandon Austin,479,-1
480,Rodrigo Bentancur,480,6108
481,Lucas Bergvall,481,12912
482,Yves Bissouma,482,5609
483,Bryan Gil Salvatierra,483,7338
484,Ben Davies,484,660
485,Alfie Devine,485,-1
486,Radu Drăgușin,486,9105
487,Emerson Leite de Souza Junior,487,7430
488,Fraser Forster,488,831
489,Archie Gray,489,10184
490,Pierre-Emile Højbjerg,490,343
491,Brennan Johnson,491,10760
492,Dejan Kulusevski,492,6691
493,Giovani Lo Celso,493,5681
494,James Maddison,494,6818
495,Pedro Porro,495,6912
496,Sergio Reguilón,496,7187
497,Richarlison de Andrade,497,6026
498,Cristian Romero,498,7218
499,Pape Matar Sarr,499,9021
500,Dane Scarlett,500,9332
502,Manor Solomon,502,10716
503,Son Heung-min,503,453
504,Djed Spence,504,10764
505,Destiny Udogie,505,8831
506,Micky van de Ven,506,10050
507,Alejo Véliz,507,12105
508,Guglielmo Vicario,508,8858
509,Timo Werner,509,65
510,Alfie Whiteman,510,-1
609,Will Lankshear,609,13127
610,Mikey Moore,610,12603
612,Wilson Odobert,612,10822
683,Callum Olusesi,683,-1
684,Malachi Hardy,684,-1
689,Luca Williams-Barnett,689,-1
388,Aaron Wan-Bissaka,388,5584
511,Edson Álvarez Velázquez,511,11926
512,Michail Antonio,512,531
513,Alphonse Areola,513,2310
514,Jarrod Bowen,514,1776
516,Vladimír Coufal,516,8965
517,Aaron Cresswell,517,534
519,George Earthy,519,12474
520,Emerson Palmieri dos Santos,520,1245
521,Łukasz Fabiański,521,706
522,Wes Foderingham,522,8776
523,Danny Ings,523,986
524,Max Kilman,524,7332
525,Mohammed Kudus,525,12027
526,Luis Guilherme Lira dos Santos,526,13026
527,Lucas Tolentino Coelho de Lima,527,7365
528,Konstantinos Mavropanos,528,6722
529,Nayef Aguerd,529,6935
530,Tomáš Souček,530,8288
532,Kurt Zouma,532,935
576,Andy Irving,576,12774
587,Crysencio Summerville,587,9492
588,Guido Rodríguez,588,8267
589,Niclas Füllkrug,589,6098
591,Jean-Clair Todibo,591,6816
643,Kaelan Casey,643,11409
654,Carlos Soler,654,2478
677,Ollie Scarles,677,-1
686,Ezra Mayers,686,-1
204,Sam Johnstone,204,978
533,Rayan Aït-Nouri,533,6674
534,Boubacar Traoré,534,8119
535,Jean-Ricner Bellegarde,535,7762
536,Daniel Bentley,536,11361
537,Francisco Jorge Tomás Oliveira,537,10327
538,Tawanda Chirewa,538,12234
539,Leon Chiwome,539,12532
540,Luke Cundle,540,-1
541,Matheus Santos Carneiro Da Cunha,541,7080
542,Craig Dawson,542,804
543,Matt Doherty,543,6852
544,Tommy Doyle,544,8496
545,Fábio Silva,545,8778
546,Nathan Fraser,546,11210
547,Enso González,547,12047
548,Gonçalo Manuel Ganchinho Guedes,548,5682
549,Hugo Bueno López,549,10140
550,Hwang Hee-chan,550,8845
551,Joe Hodge,551,10755
552,Ki-Jana Hoever,552,-1
553,João Victor Gomes da Silva,553,11384
554,José Malheiro de Sá,554,9740
555,Saša Kalajdžić,555,8812
556,Tom King,556,-1
557,Mario Lemina,557,1299
558,Yerson Mosquera,558,9958
559,Nélson Cabral Semedo,559,6163
561,Pedro Cardoso de Lima,561,-1
562,Daniel Castelo Podence,562,8291
563,Rodrigo Martins Gomes,563,2496
564,Santiago Bueno,564,10945
565,Pablo Sarabia,565,2199
566,Jørgen Strand Larsen,566,11070
567,Toti António Gomes,567,10293
637,Bastien Meupiyou,637,-1
642,André Trindade da Costa Neto,642,13022
655,Carlos Roberto Forbs Borges,655,13092
664,Alfie Pond,664,13117
682,Tom Edozie,682,-1
