Understat_ID,FPL_ID,Understat_Name,FPL_Name,Unique_ID
5613,16,Gabriel,Gabriel dos Santos Magalhães,3
5648,143,Malang Sarr,Malang Sarr,176
5656,9,Nicolas Pepe,Nicolas Pépé,696
5712,50,Diego Carlos,Diego Carlos Santos Silva,35
5735,168,Jean-Philippe Mateta,Jean-Philippe Mateta,207
5786,89,Yoane Wissa,Yoane Wissa,110
5789,53,Boubacar Kamara,Boubacar Kamara,42
5956,259,Youri Tielemans,Youri Tielemans,57
5973,215,Kenny Tete,Kenny Tete,257
5989,507,Moussa Niakhate,Moussa Niakhaté,978
6026,454,Richarlison,Richarlison de Andrade,497
6027,164,Jairo Riedewald,Jairo Riedewald,797
6034,70,Philip Billing,Philip Billing,76
6042,410,Jan Bednarek,Jan Bednarek,455
6047,105,Shane Duffy,Shane Duffy,834
6048,106,Lewis Dunk,Lewis Dunk,120
6049,107,Solly March,Solly March,132
6054,307,Ederson,Ederson Santana de Moraes,347
6055,314,Phil Foden,Phil Foden,348
6063,365,Jacob Murphy,Jacob Murphy,402
6080,337,Victor Lindelöf,Victor Lindelöf,376
6088,536,Orel Mangala,Orel Mangala,651
6104,163,Will Hughes,Will Hughes,203
6108,440,Rodrigo Bentancur,Rodrigo Bentancur,480
6122,46,Douglas Luiz,Douglas Luiz Soares de Paulo,711
6157,258,Timothy Castagne,Timothy Castagne,244
6163,482,Nélson Semedo,Nélson Cabral Semedo,559
6249,435,Davinson Sánchez,Davinson Sánchez,1022
6252,413,Lyanco,Lyanco Silveira Neves Vojnovic,1002
6253,529,Gianluca Scamacca,Gianluca Scamacca,1044
6273,230,Robin Koch,Robin Koch,881
6276,466,Nikola Vlasic,Nikola Vlasic,1041
6310,269,Boubakary Soumare,Boubakary Soumaré,285
6314,165,Joachim Andersen,Joachim Andersen,191
6326,290,Ibrahima Konaté,Ibrahima Konaté,326
6345,340,Jadon Sancho,Jadon Sancho,386
6377,442,Joe Rodon,Joe Rodon,1025
6382,486,Pedro Neto,Pedro Lomba Neto,560
6418,263,Hamza Choudhury,Hamza Choudhury,287
6424,471,Ben Johnson,Ben Johnson,275
6451,174,Nathan Ferguson,Nathan Ferguson,799
6456,144,Callum Hudson-Odoi,Callum Hudson-Odoi,434
6482,11,Eddie Nketiah,Eddie Nketiah,11
6485,239,Júnior Firpo,Junior Firpo Adames,888
6492,23,Reiss Nelson,Reiss Nelson,10
6500,417,Romain Perraud,Romain Perraud,1005
6521,188,Yerry Mina,Yerry Mina,816
6532,355,Martin Dubravka,Martin Dubravka,396
6552,95,Bryan Mbeumo,Bryan Mbeumo,99
6615,141,Trevoh Chalobah,Trevoh Chalobah,159
6630,373,Joe Willock,Joe Willock,420
6665,291,Curtis Jones,Curtis Jones,324
6674,487,Rayan Ait Nouri,Rayan Aït-Nouri,533
6681,264,Harvey Barnes,Harvey Barnes,392
6691,446,Dejan Kulusevski,Dejan Kulusevski,492
6736,416,Ibrahima Diallo,Ibrahima Diallo,1004
6756,534,Dwight McNeil,Dwight McNeil,230
6817,331,Fred,Frederico Rodrigues de Paula Santos,935
6818,261,James Maddison,James Maddison,494
6827,205,Bobby Reid,Bobby De Cordova-Reid,290
6835,200,Tom Cairney,Tom Cairney,243
6837,436,Ryan Sessegnon,Ryan Sessegnon,579
6840,204,Neeskens Kebano,Neeskens Kebano,837
6850,474,Willy Boly,Willy Boly,425
6851,475,Conor Coady,Conor Coady,288
6852,429,Matt Doherty,Matt Doherty,543
6853,480,Rúben Neves,Rúben da Silva Neves,1052
6854,288,Diogo Jota,Diogo Jota,317
6856,531,Rúben Vinagre,Rúben Nascimento Vinagre,821
6857,493,Morgan Gibbs-White,Morgan Gibbs-White,433
6859,38,Kortney Hause,Kortney Hause,40
6880,147,Edouard Mendy,Edouard Mendy,781
6888,26,William Saliba,William Saliba,18
6891,59,Ryan Fredericks,Ryan Fredericks,724
6893,405,Stuart Armstrong,Stuart Armstrong,998
6894,406,Mohamed Elyounoussi,Mohamed Elyounoussi,999
6923,420,Mohammed Salisu,Mohammed Salisu,1007
6962,35,Robin Olsen,Robin Olsen,51
7069,87,Saman Ghoddos,Saman Ghoddos,747
7078,370,Sean Longstaff,Sean Longstaff,410
7083,79,Christian Nørgaard,Christian Nørgaard,101
7134,112,Marc Cucurella,Marc Cucurella Saseta,163
7166,88,Mathias Jensen,Mathias Jensen,95
7184,201,Tim Ream,Tim Ream,253
7187,438,Sergio Reguilón,Sergio Reguilón,496
7198,441,Oliver Skipp,Oliver Skipp,501
7218,443,Cristian Romero,Cristian Romero,498
7230,12,Emile Smith-Rowe,Emile Smith Rowe,19
7235,102,Jason Steele,Jason Steele,142
7236,479,Leander Dendoncker,Leander Dendoncker,33
7239,556,Conor Coventry,Conor Coventry,1045
7280,414,Yan Valery,Yan Valery,1003
7281,342,Diogo Dalot,Diogo Dalot Teixeira,369
7298,10,Ben White,Benjamin White,24
7322,13,Bukayo Saka,Bukayo Saka,17
7332,484,Max Kilman,Max Kilman,524
7352,506,Tyler Adams,Tyler Adams,60
7382,358,Dan Burn,Dan Burn,395
7384,71,Chris Mepham,Chris Mepham,72
7420,369,Miguel Almirón,Miguel Almirón Rejala,391
7430,445,Emerson,Emerson Leite de Souza Junior,487
7546,294,Harvey Elliott,Harvey Elliott,319
7582,72,Mark Travers,Mark Travers,84
7589,272,Wesley Fofana,Wesley Fofana,189
7603,167,Marc Guehi,Marc Guéhi,200
7689,193,Ben Godfrey,Ben Godfrey,819
7691,372,Jamal Lewis,Jamal Lewis,408
7698,111,Leandro Trossard,Leandro Trossard,23
7699,108,Adam Webster,Adam Webster,147
7700,411,Che Adams,Che Adams,1000
7701,418,Moussa Djenepo,Moussa Djenepo,1006
7702,398,Dean Henderson,Dean Henderson,201
7723,37,John McGinn,John McGinn,48
7726,44,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,44
7752,19,Gabriel Martinelli,Gabriel Martinelli Silva,9
7753,268,James Justin,James Justin,295
7768,142,Mason Mount,Mason Mount,382
7814,397,Taiwo Awoniyi,Taiwo Awoniyi,424
7817,310,Zack Steffen,Zack Steffen,922
7904,289,Caoimhin Kelleher,Caoimhin Kelleher,325
7931,14,Takehiro Tomiyasu,Takehiro Tomiyasu,697
7988,149,Billy Gilmour,Billy Gilmour,124
8020,115,Steven Alzate,Steven Alzate,762
8040,41,Marvelous Nakamba,Marvelous Nakamba,710
8067,146,Reece James,Reece James,172
8075,343,Brandon Williams,Brandon Williams,939
8089,8,Kieran Tierney,Kieran Tierney,21
8090,73,Lloyd Kelly,Lloyd Kelly,404
8150,195,Anthony Gordon,Anthony Gordon,398
8179,485,Luke Cundle,Luke Cundle,540
8204,295,Neco Williams,Neco Williams,437
8214,170,Tyrick Mitchell,Tyrick Mitchell,210
8222,439,Japhet Tanganga,Japhet Tanganga,1024
8224,415,William Smallbone,Will Smallbone,471
8226,114,Tariq Lamptey,Tariq Lamptey,131
8260,318,Erling Haaland,Erling Haaland,351
8288,468,Tomas Soucek,Tomas Soucek,530
8291,483,Daniel Podence,Daniel Castelo Podence,562
8300,437,Steven Bergwijn,Steven Bergwijn,1023
8327,374,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,394
8379,116,Alexis Mac Allister,Alexis Mac Allister,329
8380,20,Pablo Marí,Pablo Marí Villar,699
8384,150,Armando Broja,Armando Broja,156
8456,412,Nathan Tella,Nathan Tella,1001
8476,196,Jarrad Branthwaite,Jarrad Branthwaite,219
8497,316,Cole Palmer,Cole Palmer,182
8544,241,Lewis Bate,Lewis Bate,889
8562,270,Luke Thomas,Luke Thomas,305
8635,377,Sven Botman,Sven Botman,393
8666,514,Cheick Oumar Doucoure,Cheick Doucouré,193
8704,213,Marek Rodák,Marek Rodák,842
8706,169,Eberechi Eze,Eberechi Eze,199
8715,238,Illan Meslier,Illan Meslier,887
8716,222,Luke Ayling,Luke Ayling,873
8717,235,Pascal Struijk,Pascal Struijk,884
8718,226,Stuart Dallas,Stuart Dallas,877
8719,325,Kalvin Phillips,Kalvin Phillips,359
8720,233,Jack Harrison,Jack Harrison,224
8721,234,Jamie Shackleton,Jamie Shackleton,883
8778,488,Fabio Silva,Fabio Silva,545
8780,109,Joël Veltman,Joël Veltman,145
8816,221,Liam Cooper,Liam Cooper,872
8821,336,Donny van de Beek,Donny van de Beek,937
8845,481,Hee-Chan Hwang,Hwang Hee-chan,550
8852,292,Konstantinos Tsimikas,Konstantinos Tsimikas,337
8864,43,Matthew Cash,Matty Cash,32
8865,40,Ollie Watkins,Ollie Watkins,58
8868,323,Liam Delap,Liam Delap,268
8940,217,Antonee Robinson,Antonee Robinson,255
8941,47,Jacob Ramsey,Jacob Ramsey,53
