assists,bonus,bps,clean_sheets,creativity,unique_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,15,0,16.9,24,0.07,0.07,0.0,1.08,107,1,0,3.3,16.4,2023-11-04 17:30:00+00:00,72,15,0,0,0,0,11,0,1486113,1,0,1,0.0,2,9986,74664,64678,57,False,0,2,Benjamin White,1,NEW,1050,1160,ARS,1370,1360,1,2023
0,0,0,0,0.0,24,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-11-11 15:00:00+00:00,0,6,0,0,0,0,12,0,1687417,0,1,3,0.0,0,172516,201889,29373,58,True,0,2,Benjamin White,1,BUR,1050,1050,ARS,1370,1330,1,2023
0,0,3,0,0.0,24,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2023-11-25 17:30:00+00:00,1,4,0,0,0,0,13,0,1325268,0,1,0,0.0,1,-323604,9176,332780,57,False,0,2,Benjamin White,1,BRE,1110,1090,ARS,1370,1360,1,2023
0,0,3,0,0.3,24,0.0,0.0,0.0,0.13,131,1,0,0.2,2.0,2023-12-02 15:00:00+00:00,11,20,0,0,0,0,14,0,1303097,0,1,2,0.0,1,-49461,22639,72100,57,True,0,2,Benjamin White,1,WOL,1105,1100,ARS,1370,1330,1,2023
1,0,29,0,33.5,24,0.51,0.51,0.0,0.5,146,3,0,7.8,38.4,2023-12-05 20:15:00+00:00,90,12,0,0,0,0,15,0,1202287,1,4,3,6.0,4,-102291,9971,112262,57,False,0,2,Benjamin White,1,LUT,1020,1090,ARS,1370,1360,1,2023
0,0,10,0,2.8,24,0.01,0.01,0.0,0.51,151,1,0,2.2,19.2,2023-12-09 17:30:00+00:00,90,2,0,0,0,0,16,0,1182489,1,0,1,0.0,2,-22309,17802,40111,56,False,0,2,Benjamin White,1,AVL,1140,1180,ARS,1370,1360,1,2023
0,0,21,1,15.6,24,0.04,0.09,0.05,0.69,161,0,0,3.7,11.8,2023-12-17 14:00:00+00:00,90,5,0,0,0,0,17,0,1181935,1,0,2,10.0,5,-4980,28955,33935,56,True,1,2,Benjamin White,1,BHA,1180,1240,ARS,1370,1330,1,2023
0,0,12,0,21.8,24,0.01,0.01,0.0,0.95,174,1,0,3.8,16.6,2023-12-23 17:30:00+00:00,90,11,0,0,0,0,18,0,1158274,1,1,1,0.0,1,-19952,9428,29380,56,False,1,2,Benjamin White,1,LIV,1210,1270,ARS,1370,1360,1,2023
0,0,16,0,20.5,24,0.51,0.61,0.1,1.48,181,2,0,4.9,18.4,2023-12-28 20:15:00+00:00,90,19,0,0,0,0,19,0,1158852,1,2,0,10.0,1,-6551,17152,23703,56,True,0,2,Benjamin White,1,WHU,1140,1150,ARS,1370,1330,1,2023
0,0,13,0,2.1,24,0.01,0.01,0.0,1.08,193,2,0,0.7,4.4,2023-12-31 14:00:00+00:00,66,10,0,0,0,0,20,0,1149175,1,1,2,0.0,1,-12166,20993,33159,56,False,0,2,Benjamin White,1,FUL,1050,1060,ARS,1370,1360,1,2023
0,0,26,1,15.5,24,0.15,0.19,0.04,0.33,201,0,0,4.1,21.4,2024-01-20 12:30:00+00:00,90,8,0,0,0,0,21,0,1174744,1,0,5,4.0,6,15369,90099,74730,56,True,0,2,Benjamin White,1,CRY,1120,1085,ARS,1370,1330,1,2023
0,0,12,0,19.9,24,0.16,0.16,0.0,0.4,215,1,0,4.8,15.6,2024-01-30 19:30:00+00:00,90,16,0,0,0,0,22,0,1169472,1,2,1,12.0,2,-4893,26029,30922,56,False,0,2,Benjamin White,1,NFO,1050,1080,ARS,1370,1360,1,2023
0,0,14,0,1.3,24,0.01,0.01,0.0,0.41,221,1,0,2.3,21.2,2024-02-04 16:30:00+00:00,90,11,0,0,0,0,23,0,1130253,1,1,3,0.0,1,-39043,2746,41789,56,True,1,2,Benjamin White,1,LIV,1350,1390,ARS,1370,1330,1,2023
1,0,37,1,14.4,24,0.05,0.05,0.0,0.08,239,0,0,4.1,24.6,2024-02-11 14:00:00+00:00,76,19,0,0,0,0,24,0,1105693,1,6,0,2.0,9,-26488,11965,38453,56,False,0,2,Benjamin White,1,WHU,1055,1150,ARS,1370,1360,1,2023
0,0,29,1,2.6,24,0.02,0.02,0.0,0.11,242,0,0,1.1,8.0,2024-02-17 15:00:00+00:00,68,6,0,0,0,0,25,0,1104467,1,5,0,0.0,6,3967,39430,35463,56,False,0,2,Benjamin White,1,BUR,1050,1040,ARS,1370,1360,1,2023
0,0,10,0,3.3,24,0.25,0.25,0.0,0.16,251,1,0,1.4,4.4,2024-02-24 20:00:00+00:00,90,15,0,0,0,0,26,0,1148330,1,1,4,6.0,2,29846,56442,26596,56,True,0,2,Benjamin White,1,NEW,1210,1355,ARS,1370,1330,1,2023
0,1,35,1,6.5,24,0.05,0.09,0.04,0.13,269,0,1,6.5,37.2,2024-03-04 20:00:00+00:00,64,17,0,0,0,0,27,0,1156364,1,6,0,21.0,13,10583,31777,21194,56,False,0,2,Benjamin White,1,SHU,1045,1020,ARS,1370,1360,1,2023
2,3,37,0,47.0,24,0.26,0.26,0.0,0.97,271,1,0,9.9,48.4,2024-03-09 17:30:00+00:00,90,4,0,0,0,0,28,0,1269366,1,1,2,4.0,11,104603,116062,11459,56,True,0,2,Benjamin White,1,BRE,1055,1150,ARS,1370,1330,1,2023
