h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,xG_rolling_3,deep_rolling_3,xGA_rolling_3,deep_allowed_rolling_3,xG_rolling_4,deep_rolling_4,xGA_rolling_4,deep_allowed_rolling_4,xG_rolling_5,deep_rolling_5,xGA_rolling_5,deep_allowed_rolling_5,xG_rolling_13,deep_rolling_13,xGA_rolling_13,deep_allowed_rolling_13,xG_rolling_16,deep_rolling_16,xGA_rolling_16,deep_allowed_rolling_16,xG_rolling_20,deep_rolling_20,xGA_rolling_20,deep_allowed_rolling_20
h,0.622653,1.57897,0.622653,1.57897,"{'att': 316, 'def': 15}","{'att': 220, 'def': 23}",7,8,1,1,0.5932,d,2022-10-23,0,1,0,1,-0.956317,0.6214689999999999,2.6666666666666665,1.7510273333333333,9.333333333333334,0.9560042500000001,5.0,1.813218,8.0,0.8084638000000002,4.4,1.7193044,7.6,1.0079622727272728,5.7272727272727275,1.4911172727272728,8.181818181818182,1.0079622727272728,5.7272727272727275,1.4911172727272728,8.181818181818182,1.0079622727272728,5.7272727272727275,1.4911172727272728,8.181818181818182
a,1.35803,1.00384,1.35803,1.00384,"{'att': 146, 'def': 20}","{'att': 267, 'def': 23}",8,7,0,1,1.6206,l,2022-10-29,0,0,1,0,0.35419,0.7953039999999999,5.0,1.365564,8.0,0.621765,3.75,1.708013,9.0,0.8893340000000001,5.4,1.7663684,8.0,0.9758531666666667,5.833333333333333,1.4984383333333333,8.166666666666666,0.9758531666666667,5.833333333333333,1.4984383333333333,8.166666666666666,0.9758531666666667,5.833333333333333,1.4984383333333333,8.166666666666666
h,1.65228,1.42101,1.65228,1.42101,"{'att': 199, 'def': 22}","{'att': 214, 'def': 15}",6,4,1,4,1.5575,l,2022-11-06,0,0,1,0,0.2312699999999998,1.0731543333333333,7.0,1.1310873333333333,7.666666666666667,0.9359855000000001,5.75,1.275133,7.75,0.7690180000000001,4.6,1.5671784,8.6,1.0052513846153845,6.0,1.4603923076923075,8.076923076923077,1.0052513846153845,6.0,1.4603923076923075,8.076923076923077,1.0052513846153845,6.0,1.4603923076923075,8.076923076923077
a,1.43427,2.74418,1.43427,2.74418,"{'att': 436, 'def': 20}","{'att': 240, 'def': 12}",9,10,1,3,0.5758,l,2022-11-12,0,0,1,0,-1.30991,1.2109876666666668,7.0,1.3346066666666667,6.333333333333333,1.21793575,6.75,1.203568,6.75,1.0792443999999999,5.8,1.3043084,7.0,1.1026155384615386,5.923076923076923,1.4453007692307693,7.461538461538462,1.0514677142857143,6.0,1.4575792857142855,7.785714285714286,1.0514677142857143,6.0,1.4575792857142855,7.785714285714286
h,1.70709,1.00714,0.857921,1.00714,"{'att': 445, 'def': 22}","{'att': 177, 'def': 16}",5,10,1,3,1.9778,l,2022-12-26,0,0,1,0,-0.1492189999999998,1.4815266666666667,7.666666666666667,1.7230100000000002,7.0,1.26680825,7.5,1.687,7.25,1.2612026,7.2,1.5116904,7.4,1.1045547692307693,6.3076923076923075,1.502780769230769,7.538461538461538,1.0769878666666666,6.2,1.5433526666666666,7.933333333333334,1.0769878666666666,6.2,1.5433526666666666,7.933333333333334
a,0.698711,1.49305,0.698711,0.731881,"{'att': 299, 'def': 22}","{'att': 158, 'def': 21}",2,6,1,2,0.6106,l,2022-12-31,0,0,1,0,-0.03317,1.59788,6.666666666666667,1.7241099999999998,8.0,1.5379175000000003,7.0,1.5440425,7.75,1.3548645999999998,7.0,1.551028,7.8,1.1403655384615385,6.384615384615385,1.5615647692307693,7.923076923076923,1.11636925,6.125,1.509839375,8.0625,1.11636925,6.125,1.509839375,8.0625
h,0.62937,1.22324,0.62937,1.22324,"{'att': 128, 'def': 23}","{'att': 237, 'def': 20}",4,4,0,1,0.7590999999999999,l,2023-01-04,0,0,1,0,-0.5938700000000001,1.2800236666666664,5.333333333333333,1.7481233333333333,8.666666666666666,1.37308775,5.5,1.666345,7.5,1.3700762,6.0,1.533844,7.4,1.0895840769230771,5.6923076923076925,1.573061692307692,7.538461538461538,1.1358795625,5.8125,1.5020799999999999,7.6875,1.0918011176470588,5.882352941176471,1.5088517647058826,7.9411764705882355
a,1.08412,1.18191,1.08412,1.18191,"{'att': 171, 'def': 25}","{'att': 183, 'def': 14}",8,4,2,1,1.2537,w,2023-01-14,1,0,0,3,-0.09779,1.0117236666666667,3.6666666666666665,1.2411433333333333,6.666666666666667,1.11736025,5.0,1.6169025000000001,7.5,1.2243441999999998,5.2,1.577724,6.8,1.0271617692307693,5.769230769230769,1.551410923076923,7.3076923076923075,1.0871489375,5.8125,1.45372375,7.375,1.0661105,5.777777777777778,1.4929844444444444,7.722222222222222
h,0.672444,1.16432,0.672444,1.16432,"{'att': 337, 'def': 28}","{'att': 159, 'def': 21}",4,8,0,1,0.9341,l,2023-01-21,0,0,1,0,-0.491876,0.804067,4.666666666666667,1.2994,4.666666666666667,1.0298227500000001,4.75,1.226335,6.0,1.1107122,5.6,1.529904,6.8,1.017603307692308,5.461538461538462,1.5576816923076924,7.0,1.0773095625,6.0625,1.512408875,7.3125,1.0670583684210526,5.894736842105263,1.476612105263158,7.526315789473684
a,0.644385,2.36747,0.644385,2.36747,"{'att': 163, 'def': 19}","{'att': 205, 'def': 17}",5,12,0,3,0.2808,l,2023-02-04,0,0,1,0,-1.723085,0.7953113333333334,5.333333333333333,1.1898233333333332,5.333333333333333,0.7711612500000001,4.5,1.26563,5.5,0.9583470000000002,4.6,1.213932,6.4,1.0525373076923077,5.615384615384615,1.543887076923077,7.153846153846154,1.0344079375000002,5.625,1.5012045,7.125,1.0473276500000002,5.8,1.4609975,7.55
h,1.30203,0.615651,1.30203,0.615651,"{'att': 288, 'def': 34}","{'att': 113, 'def': 19}",7,2,1,2,1.983,l,2023-02-11,0,0,1,0,0.6863790000000001,0.8003163333333333,5.666666666666667,1.571233333333333,8.0,0.7575797500000001,5.25,1.484235,7.0,0.745806,4.6,1.485998,6.8,0.9513661538461538,5.076923076923077,1.5721701538461539,7.769230769230769,0.98462825,5.75,1.555127625,7.4375,1.0602196000000002,5.7,1.498511,7.55
a,0.619532,1.61723,0.619532,1.61723,"{'att': 299, 'def': 42}","{'att': 170, 'def': 29}",3,11,1,0,0.5426,w,2023-02-18,1,0,0,3,-0.997698,0.872953,5.333333333333333,1.3824803333333333,7.333333333333333,0.9257447500000001,6.0,1.3323377499999998,6.5,0.8664698000000002,5.6,1.3105182,6.0,1.0437416923076923,5.615384615384615,1.4091156153846156,7.0,0.990481375,5.4375,1.5248314375,7.0625,1.0548681,5.85,1.4294465500000002,7.2
a,0.391128,0.720048,0.391128,0.720048,"{'att': 285, 'def': 26}","{'att': 196, 'def': 36}",2,10,0,1,0.9448,l,2023-02-25,0,0,1,0,-0.32892,0.8553156666666667,5.0,1.5334503333333334,8.333333333333334,0.8095977500000001,4.75,1.44116775,8.25,0.8645022000000001,5.4,1.3893162,7.4,1.0510534615384617,5.6923076923076925,1.4021894615384616,7.230769230769231,1.01555825,5.5,1.5419301875,7.375,1.0237672,5.8,1.49816065,7.5
h,1.34332,1.67051,0.582156,1.67051,"{'att': 341, 'def': 26}","{'att': 167, 'def': 28}",1,12,1,0,1.0948,w,2023-03-04,1,0,0,3,-1.0883539999999998,0.7708966666666667,4.0,0.9843096666666664,7.666666666666667,0.7392687500000001,4.25,1.33009975,8.75,0.7259038,4.2,1.2969438,8.6,0.9858494615384614,5.384615384615385,1.3952353076923076,7.384615384615385,0.9175281249999999,4.875,1.4619463124999998,7.75,0.9753801000000001,5.35,1.46698355,7.45
a,1.18053,0.910911,1.18053,0.910911,"{'att': 223, 'def': 25}","{'att': 238, 'def': 26}",4,8,0,0,1.5585,d,2023-03-12,0,1,0,1,0.269619,0.78466,2.0,1.3359293333333333,11.0,0.9140025000000002,3.25,1.1558597499999999,8.75,0.860079,3.6,1.3981818000000001,9.4,1.0412853846153847,4.923076923076923,1.4022768461538462,7.6923076923076925,0.995163875,4.9375,1.3953931874999999,7.75,0.9705031,5.25,1.47527405,7.7
h,0.358977,1.66591,0.358977,1.66591,"{'att': 135, 'def': 25}","{'att': 307, 'def': 26}",6,4,0,2,0.2338,l,2023-03-15,0,0,1,0,-1.306933,0.9716593333333333,2.3333333333333335,1.1004896666666666,10.0,0.8836275000000001,2.5,1.22967475,10.25,0.9673080000000001,3.4,1.10687,8.6,1.0276315384615384,4.615384615384615,1.3951284615384618,7.769230769230769,1.0361670625,5.0625,1.3456207500000001,7.75,0.9691105999999999,4.85,1.4658000999999998,7.7
h,2.52077,1.88473,1.7596,1.88473,"{'att': 282, 'def': 27}","{'att': 197, 'def': 26}",12,6,3,3,1.8373,d,2023-03-18,0,1,0,1,-0.1251299999999999,0.9609423333333332,3.6666666666666665,1.415777,8.0,0.8184887500000001,3.25,1.24184475,8.5,0.7786974,3.2,1.3169218,9.0,0.9281466923076922,4.615384615384615,1.4139669230769227,7.769230769230769,0.981179375,5.0625,1.3990868749999998,7.5,0.97614435,5.05,1.4819130999999999,7.6
a,0.318261,1.40363,0.318261,1.40363,"{'att': 225, 'def': 29}","{'att': 332, 'def': 37}",3,3,0,1,0.4503,l,2023-04-02,0,0,1,0,-1.085369,1.3534256666666666,7.333333333333333,1.4871836666666667,6.0,1.35089925,5.75,1.53301525,7.5,1.158945,5.0,1.3704218000000001,8.0,1.0117236153846154,4.846153846153846,1.3478553846153847,7.461538461538462,1.0998116875,5.375,1.418196875,7.375,1.00420235,5.05,1.4761601,7.7
h,0.492801,3.05999,0.492801,2.29883,"{'att': 494, 'def': 9}","{'att': 160, 'def': 18}",1,11,1,4,0.0771,l,2023-04-08,0,0,1,0,-1.806029,1.0660026666666667,7.0,1.651423333333333,4.333333333333333,1.0946345000000002,6.25,1.46629525,5.25,1.1443716,5.2,1.5071382,6.6,0.9048906153846155,4.6923076923076925,1.3783546153846156,6.923076923076923,1.034826125,5.0625,1.44318375,7.125,1.015058,5.2,1.4095735999999999,7.25
h,0.678449,0.86306,0.678449,0.86306,"{'att': 195, 'def': 23}","{'att': 300, 'def': 33}",9,8,0,2,1.0869,l,2023-04-15,0,0,1,0,-0.184611,1.1106106666666669,5.333333333333333,2.116116666666666,6.666666666666667,0.9227022500000002,5.5,2.003565,6.0,0.9742678000000001,5.2,1.7850341999999997,6.4,0.8890513846153846,4.615384615384615,1.4988884615384614,7.3076923076923075,0.9623586875,4.75,1.54562,7.5625,1.0134741,5.15,1.4772096000000001,7.4
a,1.43063,2.39609,1.43063,2.39609,"{'att': 265, 'def': 14}","{'att': 104, 'def': 25}",3,23,3,3,0.7431,d,2023-04-21,0,1,0,1,-0.96546,0.4965036666666667,4.333333333333333,1.7755599999999996,7.333333333333333,1.0025702500000002,6.25,1.8028525,7.0,0.8738516000000001,6.2,1.7754640000000002,6.4,0.8928266923076923,5.0,1.4711823076923076,7.615384615384615,0.915119875,4.75,1.42805,7.4375,0.9854575499999999,5.3,1.4798399999999998,7.4
h,0.477034,0.988554,0.477034,0.988554,"{'att': 205, 'def': 26}","{'att': 276, 'def': 27}",5,5,0,1,0.859,l,2023-04-27,0,0,1,0,-0.51152,0.8672933333333335,4.333333333333333,2.1063799999999997,14.0,0.7300352500000001,4.0,1.9306925,11.25,1.0881821999999999,5.6,1.9215,10.2,0.9194813076923076,4.615384615384615,1.5645807692307694,9.076923076923077,0.897841125,4.625,1.514859375,8.25,1.0258564,5.1,1.520696,8.15
a,0.897175,3.91457,0.897175,3.91457,"{'att': 261, 'def': 17}","{'att': 152, 'def': 25}",4,12,1,3,0.0355,l,2023-04-30,0,0,1,0,-3.017395,0.8620376666666667,5.666666666666667,1.415901333333333,12.0,0.7697285000000001,4.5,1.8269235,11.75,0.679435,4.2,1.7422648000000003,10.0,0.9044497692307693,4.6923076923076925,1.5510603076923077,8.846153846153847,0.8839863124999999,4.8125,1.4833283750000001,8.1875,0.9818066,4.95,1.5199317,8.05
a,3.31096,1.91326,2.54979,1.1521,"{'att': 152, 'def': 14}","{'att': 299, 'def': 23}",12,8,3,4,2.2749,l,2023-05-08,0,0,1,0,1.39769,0.9349463333333334,4.0,2.433071333333333,13.333333333333334,0.8708220000000001,5.25,2.0405685,12.0,0.7952178,4.4,2.2444528,11.8,0.923895153846154,4.615384615384615,1.670068,8.846153846153847,0.900724125,4.8125,1.6515365000000002,8.6875,0.94405135,4.85,1.6446096999999997,8.45
h,0.149649,1.27085,0.149649,1.27085,"{'att': 345, 'def': 27}","{'att': 181, 'def': 23}",0,11,0,2,0.3339999999999999,l,2023-05-13,0,0,1,0,-1.121201,1.561723,7.0,2.272128,8.333333333333334,1.5289497500000002,6.0,2.3031185,12.0,1.3588495999999999,6.6,2.0151068000000003,11.2,1.0784282307692308,5.0,1.769884076923077,9.307692307692308,1.0399016250000002,5.0625,1.697245875,8.9375,1.03788585,5.0,1.6030636999999999,8.35
a,0.863659,2.41418,0.863659,2.41418,"{'att': 344, 'def': 18}","{'att': 228, 'def': 21}",2,22,1,3,0.4295,l,2023-05-21,0,0,1,0,-1.550521,1.452594666666667,5.333333333333333,2.3662266666666665,10.333333333333334,1.2087045,5.25,2.0218085,9.0,1.2530896,4.8,2.0966648,11.8,1.0422833846153845,4.769230769230769,1.7432394615384617,9.307692307692308,1.0072269375,4.8125,1.7039039999999999,9.125,0.9600138000000001,4.75,1.6162492,8.4
h,1.33964,4.00345,1.33964,4.00345,"{'att': 342, 'def': 11}","{'att': 150, 'def': 40}",4,20,4,4,0.1953,d,2023-05-28,0,1,0,1,-2.66381,1.4414226666666667,4.666666666666667,1.8660966666666663,13.666666666666666,1.3053607500000002,4.5,2.378215,13.25,1.1396954000000001,4.6,2.1002827999999996,11.6,1.0786319230769232,4.769230769230769,1.8735573076923075,10.23076923076923,1.0209315625000002,4.625,1.706823375,9.75,0.9682612,4.75,1.6623056999999999,9.2
a,1.95483,0.433489,1.95483,0.433489,"{'att': 72, 'def': 19}","{'att': 325, 'def': 20}",13,4,0,1,2.5586,l,2024-08-17,0,0,1,0,1.521341,0.784316,2.0,2.5628266666666666,17.666666666666668,1.415977,4.5,2.400435,15.25,1.3122166,4.4,2.703262,14.6,1.0783488461538462,5.0,2.0530142307692305,10.846153846153847,1.0232821875,4.4375,1.9185608125,10.875,1.0037747,4.75,1.8013161999999998,10.0
h,0.214952,2.86475,0.214952,2.86475,"{'att': 171, 'def': 21}","{'att': 425, 'def': 23}",4,9,0,1,0.0697,l,2024-08-24,0,0,1,0,-2.649798,1.386043,6.333333333333333,2.283706333333333,15.333333333333334,1.0769445000000002,4.75,2.03049225,14.25,1.5237476,6.2,2.0070457999999998,13.0,1.1379103846153846,5.6923076923076925,2.0162894615384617,10.538461538461538,1.1067383125,5.0625,1.844577,10.4375,1.0473102,5.0,1.7638951500000002,10.0
a,1.64713,3.86281,1.64713,3.86281,"{'att': 189, 'def': 23}","{'att': 306, 'def': 21}",14,15,1,3,0.2902,l,2024-08-31,0,0,1,0,-2.21568,1.1698073333333334,7.0,2.4338963333333328,11.0,1.09327025,5.75,2.4289672500000004,13.75,0.9045460000000001,4.6,2.1973438,13.2,1.1268315384615386,5.538461538461538,2.108507923076923,10.923076923076923,1.0957273125,5.1875,1.978620875,10.375,1.0244356,5.0,1.84891665,10.05
h,1.35593,3.02693,0.545317,3.02693,"{'att': 380, 'def': 35}","{'att': 300, 'def': 29}",3,17,0,3,0.3434999999999999,l,2024-09-14,0,0,1,0,-2.4816130000000003,1.272304,10.333333333333334,2.3870163333333334,9.333333333333334,1.2891380000000001,8.75,2.7911247500000003,12.0,1.2040422000000002,7.4,2.7157358,14.0,1.0596284615384615,5.6923076923076925,2.2606679230769227,11.615384615384615,1.1147154375000001,6.0,2.115639625,10.5625,1.07457285,5.45,1.9236836499999999,10.2
h,2.89813,1.645,2.89813,1.645,"{'att': 220, 'def': 25}","{'att': 314, 'def': 34}",7,5,1,1,2.2631,d,2024-09-21,0,1,0,1,1.25313,1.0726706666666666,7.0,3.2514966666666667,13.666666666666666,1.2932105000000003,8.5,2.54699475,11.25,1.3024964,7.6,2.8382858000000004,13.0,1.139449153846154,5.6923076923076925,2.385537153846154,12.692307692307692,1.1256779375,5.9375,2.2478908125,11.125,1.0772678500000001,5.25,2.0442476,10.95
a,0.696068,1.44215,0.696068,1.44215,"{'att': 188, 'def': 16}","{'att': 371, 'def': 32}",7,7,1,3,0.7307,l,2024-09-30,0,0,1,0,-0.746082,1.9670633333333332,8.0,2.844913333333333,12.333333333333334,1.5290355,7.0,2.8498725,11.5,1.6141944000000001,8.2,2.3665958,10.0,1.3244744615384614,6.153846153846154,2.276691769230769,12.23076923076923,1.284375,6.0,2.2465839374999996,11.1875,1.1911977500000002,5.45,2.0456361000000003,10.65
a,1.27313,3.25165,1.27313,3.25165,"{'att': 247, 'def': 16}","{'att': 235, 'def': 29}",3,14,1,3,0.3293,l,2024-10-05,0,0,1,0,-1.97852,1.6500426666666665,5.666666666666667,2.0380266666666667,9.666666666666666,1.6493145000000002,7.75,2.4942225,11.0,1.3624420000000002,7.0,2.568328,10.6,1.325829769230769,6.0,2.3212371538461536,12.153846153846153,1.1703311250000001,5.6875,2.2189226875,11.25,1.20644475,5.7,2.0817411999999997,10.5
h,2.42776,2.83826,2.42776,2.0771,"{'att': 240, 'def': 15}","{'att': 199, 'def': 30}",8,11,2,3,1.0828000000000002,l,2024-10-19,0,0,1,0,0.3506599999999999,1.6224426666666665,5.666666666666667,2.1129333333333338,8.666666666666666,1.5558145,5.0,2.3414325,10.75,1.5740776,6.8,2.6457080000000004,11.6,1.3137143846153845,6.0,2.3870494615384614,11.461538461538462,1.2300104375,5.6875,2.3344239375,11.9375,1.20293525,5.8,2.1607982,10.6
a,0.369989,3.16286,0.369989,3.16286,"{'att': 175, 'def': 11}","{'att': 354, 'def': 30}",6,12,0,1,0.0694999999999999,l,2024-10-26,0,0,1,0,-2.792871,1.4656526666666665,6.0,2.510686666666667,10.666666666666666,1.8237720000000002,6.25,2.294265,9.25,1.7302036,5.6,2.440798,10.8,1.463770230769231,6.230769230769231,2.5293345384615384,11.923076923076923,1.3509453750000002,6.125,2.3205658125,11.9375,1.26529675,6.0,2.25716565,10.75
h,0.540345,1.78581,0.540345,1.78581,"{'att': 157, 'def': 17}","{'att': 390, 'def': 26}",6,4,1,0,0.4341,w,2024-11-02,1,0,0,3,-1.2454649999999998,1.3569596666666666,5.666666666666667,3.0842566666666666,12.333333333333334,1.1917367500000002,6.0,2.67373,11.0,1.5330154,6.2,2.467984,9.8,1.4232174615384616,6.384615384615385,2.471510692307692,11.923076923076923,1.3316666250000002,5.9375,2.4643033125,12.1875,1.26584735,6.0,2.3320131500000003,11.15
a,0.792655,0.912781,0.792655,0.912781,"{'att': 157, 'def': 27}","{'att': 407, 'def': 16}",6,7,0,2,1.1777,l,2024-11-09,0,0,1,0,-0.1201259999999999,1.112698,6.666666666666667,2.5956433333333333,9.0,1.152806,5.75,2.759645,10.25,1.0614584,6.0,2.496146,9.6,1.210093230769231,5.923076923076923,2.461706846153846,11.615384615384615,1.2760238125,6.125,2.4261608125,11.0,1.1668261000000002,5.7,2.32706715,11.05
h,1.53985,3.18835,0.642015,2.42718,"{'att': 240, 'def': 10}","{'att': 232, 'def': 28}",6,13,2,3,0.3767,l,2024-11-24,0,0,1,0,-1.785165,0.5676629999999999,6.0,1.953817,7.666666666666667,1.0326872500000002,6.5,2.1749277499999997,8.5,1.0807758,5.8,2.3902722,9.6,1.2595552307692306,6.384615384615385,2.4341630769230767,11.307692307692308,1.295750125,6.1875,2.421425,11.125,1.1905458000000002,5.85,2.3025246999999998,11.25
a,0.934969,1.86986,0.934969,1.86986,"{'att': 265, 'def': 22}","{'att': 292, 'def': 34}",4,16,1,1,0.7225,d,2024-11-29,0,1,0,1,-0.934891,0.9576166666666666,6.0,1.9623136666666667,8.0,0.8107097500000001,6.0,2.2624502499999997,9.0,1.1341198,6.4,2.3776122,9.4,1.3115699230769233,6.6923076923076925,2.4937146153846155,10.615384615384615,1.3359173125000001,6.3125,2.37603625,11.1875,1.24289825,6.1,2.3089427000000002,11.35
h,1.91014,5.8331,1.91014,5.8331,"{'att': 267, 'def': 8}","{'att': 299, 'def': 27}",6,18,1,5,0.0520999999999999,l,2024-12-04,0,0,1,0,-3.92296,1.0891579999999998,5.333333333333333,1.9903303333333335,12.0,0.9519547500000002,5.5,1.9392002499999998,10.0,0.8355615999999999,5.6,2.1839321999999997,10.4,1.2804413846153848,6.6923076923076925,2.329592307692308,10.307692307692308,1.187417875,5.8125,2.37332375,11.6875,1.25572425,5.85,2.3592827,11.75
a,0.385832,2.51338,0.385832,2.51338,"{'att': 239, 'def': 27}","{'att': 276, 'def': 35}",7,13,0,1,0.1582,l,2024-12-07,0,0,1,0,-2.127548,1.4616529999999999,5.333333333333333,3.6304366666666668,15.666666666666666,1.2944035,5.5,2.95102275,13.5,1.1435918,5.6,2.7179802000000004,11.6,1.2770036923076922,6.153846153846154,2.7449470000000002,11.384615384615385,1.2974485624999998,6.1875,2.658464375,12.125,1.27969975,6.0,2.5311332,11.5
h,1.27356,3.89322,1.27356,3.89322,"{'att': 402, 'def': 23}","{'att': 288, 'def': 27}",2,10,0,5,0.1389,l,2024-12-15,0,0,1,0,-2.61966,1.0769803333333332,5.666666666666667,3.4054466666666667,15.666666666666666,1.1926977500000002,5.75,3.3511725,15.0,1.1126892,5.8,2.8634942000000003,13.4,1.2901483076923077,6.384615384615385,2.7179185384615385,11.692307692307692,1.267584375,6.5,2.664664375,11.5625,1.27513965,6.1,2.6073744999999997,11.9
a,0.280031,1.25255,0.280031,1.25255,"{'att': 303, 'def': 26}","{'att': 275, 'def': 15}",3,8,0,0,0.5035000000000001,d,2024-12-22,0,1,0,1,-0.972519,1.1898439999999997,5.0,4.079899999999999,13.666666666666666,1.12612525,4.75,3.5273899999999996,14.25,1.2088702,5.0,3.459582,14.0,1.261412153846154,5.461538461538462,2.7202577692307695,11.307692307692308,1.263454375,6.375,2.657775,10.9375,1.2939589,6.0,2.606307,11.8
