id,first_name,second_name,position,value,team_id,rolling_xg_3,rolling_goals_3,last_game_goals,last_game_xg,cumulative_goals,cumulative_xg
498,Cristian,Romero,DEF,50,18,0.02,0.0,0.0,0.01,1,1.03
504,Djed,Spence,DEF,44,18,0.0,0.0,0.0,0.0,0,0.0
505,Destiny,Udogie,DEF,49,18,0.0,0.0,0.0,0.0,0,0.22
506,Micky,van de Ven,DEF,46,18,0.03333333333333333,0.0,0.0,0.0,0,0.21000000000000002
684,Malachi,Hardy,DEF,40,18,0.0,0.0,0.0,0.0,0,0.0
388,Aaron,Wan-Bissaka,DEF,44,19,0.023333333333333334,0.3333333333333333,0.0,0.0,1,0.14
516,Vladimír,Coufal,DEF,43,19,0.01,0.0,0.0,0.0,0,0.02
517,Aaron,Cresswell,DEF,40,19,0.0,0.0,0.0,0.0,0,0.0
520,Emerson,Palmieri dos Santos,DEF,44,19,0.013333333333333334,0.0,0.0,0.04,0,0.9500000000000001
524,Max,Kilman,DEF,45,19,0.0,0.0,0.0,0.0,0,0.65
528,Konstantinos,Mavropanos,DEF,44,19,0.06999999999999999,0.0,0.0,0.12,0,0.22999999999999998
529,Nayef,Aguerd,DEF,44,19,0.0,0.0,0.0,0.0,0,0.0
532,Kurt,Zouma,DEF,44,19,0.0,0.0,0.0,0.0,0,0.0
591,Jean-Clair,Todibo,DEF,43,19,0.0,0.0,0.0,0.0,0,0.1
643,Kaelan,Casey,DEF,40,19,0.0,0.0,0.0,0.0,0,0.0
677,Ollie,Scarles,DEF,40,19,0.0,0.0,0.0,0.0,0,0.0
533,Rayan,Aït-Nouri,DEF,48,20,0.05333333333333334,0.0,0.0,0.09,3,0.8700000000000002
542,Craig,Dawson,DEF,44,20,0.11333333333333334,0.0,0.0,0.0,0,0.46
543,Matt,Doherty,DEF,43,20,0.04,0.0,0.0,0.08,0,0.08
549,Hugo,Bueno López,DEF,45,20,0.0,0.0,0.0,0.0,0,0.0
552,Ki-Jana,Hoever,DEF,40,20,0.0,0.0,0.0,0.0,0,0.0
558,Yerson,Mosquera,DEF,39,20,0.02666666666666667,0.0,0.0,0.08,0,0.33
559,Nélson,Cabral Semedo,DEF,45,20,0.0,0.0,0.0,0.0,0,0.49
561,Pedro,Cardoso de Lima,DEF,40,20,0.0,0.0,0.0,0.0,0,0.0
564,Santiago,Bueno,DEF,43,20,0.06999999999999999,0.0,0.0,0.0,0,0.21
567,Toti António,Gomes,DEF,43,20,0.0,0.0,0.0,0.0,0,0.01
637,Bastien,Meupiyou,DEF,40,20,0.0,0.0,0.0,0.0,0,0.0
664,Alfie,Pond,DEF,39,20,0.0,0.0,0.0,0.0,0,0.0
