id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
45,Ian,Maatsen,46,25.75,0.06,0.0,0.06,0.06,0,0.04,0.0,0.04,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
49,Tyrone,Mings,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
49,Tyrone,Mings,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
49,Tyrone,Mings,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
49,Tyrone,Mings,44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
50,Kosta,Nedeljković,40,0.0,0.0,0.0,0.0,0.0,0,0.01,0.0,0.01,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
50,Kosta,Nedeljković,40,0.0,0.0,0.0,0.0,0.0,0,0.01,0.0,0.01,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
50,Kosta,Nedeljković,40,0.0,0.0,0.0,0.0,0.0,0,0.01,0.0,0.01,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
50,Kosta,Nedeljković,40,0.0,0.0,0.0,0.0,0.0,0,0.01,0.0,0.01,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
52,Pau,Torres,44,90.0,0.024,0.0,0.0184615384615384,0.24,0,0.0279999999999999,0.0216666666666666,0.27,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
52,Pau,Torres,44,90.0,0.024,0.0,0.0184615384615384,0.24,0,0.0279999999999999,0.0216666666666666,0.27,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
52,Pau,Torres,44,90.0,0.024,0.0,0.0184615384615384,0.24,0,0.0279999999999999,0.0216666666666666,0.27,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
52,Pau,Torres,44,90.0,0.024,0.0,0.0184615384615384,0.24,0,0.0279999999999999,0.0216666666666666,0.27,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
56,Lino,da Cruz Sousa,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
56,Lino,da Cruz Sousa,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
56,Lino,da Cruz Sousa,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
56,Lino,da Cruz Sousa,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
598,Lamare,Bogarde,40,11.25,0.0,0.0,0.0,0.0,0,0.04,0.0,0.08,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
