id,first_name,second_name,value,penalties_order,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
103,Myles,Peart-Harris,45,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
103,Myles,Peart-Harris,45,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
106,Kevin,Schade,51,,36.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
106,Kevin,Schade,51,,36.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
106,Kevin,Schade,51,,36.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
111,Yehor,Yarmoliuk,44,,37.6,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
111,Yehor,Yarmoliuk,44,,37.6,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
111,Yehor,Yarmoliuk,44,,37.6,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
314,Fábio,Freitas Gouveia Carvalho,47,,22.6,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
314,Fábio,Freitas Gouveia Carvalho,47,,22.6,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
314,Fábio,Freitas Gouveia Carvalho,47,,22.6,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
602,Ryan,Trevitt,45,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
602,Ryan,Trevitt,45,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
602,Ryan,Trevitt,45,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
634,Gustavo,Nunes Fernandes Gomes,49,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
634,Gustavo,Nunes Fernandes Gomes,49,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
634,Gustavo,Nunes Fernandes Gomes,49,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
661,Tony,Yogane,45,,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
661,Tony,Yogane,45,,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
661,Tony,Yogane,45,,0.0,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
674,Paris,Maghoma,45,,5.4,16,4,1080,1130,1100,1070,BRE,NFO,17.0,1,24,3
674,Paris,Maghoma,45,,5.4,1,4,1080,1360,1100,1390,BRE,ARS,19.0,1,24,3
674,Paris,Maghoma,45,,5.4,13,4,1080,1350,1100,1390,BRE,MCI,21.0,1,24,3
113,Simon,Adingra,53,,37.4,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
113,Simon,Adingra,53,,37.4,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
113,Simon,Adingra,53,,37.4,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
114,Benicio,Baker-Boaitey,45,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
114,Benicio,Baker-Boaitey,45,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
114,Benicio,Baker-Boaitey,45,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
115,Carlos,Baleba,50,,47.6,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
115,Carlos,Baleba,50,,47.6,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
115,Carlos,Baleba,50,,47.6,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
118,Amario,Cozier-Duberry,45,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
118,Amario,Cozier-Duberry,45,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
118,Amario,Cozier-Duberry,45,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
119,Mahmoud,Dahoud,49,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
119,Mahmoud,Dahoud,49,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
