assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,gameweek,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,3,0,11.9,288,0.01,0.12,0.11,1.85,206,1,0,4.3,9.8,2024-01-13 12:30:00+00:00,63,7,0,0,0,0,21,0,22394,1,0,1,21.0,1,-3100,1317,4417,53,False,1,3,Harry Wilson,10,21,CHE,1080,1170,FUL,1180,1170,1,2023
0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2024-01-30 19:45:00+00:00,0,9,0,0,0,0,22,0,19532,0,0,0,0.0,0,-3091,580,3671,53,True,0,3,Harry Wilson,10,22,EVE,1125,1080,FUL,1050,1060,1,2023
0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2024-02-03 15:00:00+00:00,0,6,0,0,0,0,23,0,17220,0,2,2,0.0,0,-2345,17,2362,53,False,0,3,Harry Wilson,10,23,BUR,1050,1040,FUL,1180,1170,1,2023
0,0,1,0,0.3,288,0.0,0.0,0.0,0.55,233,0,0,0.4,1.2,2024-02-10 15:00:00+00:00,26,3,0,0,0,0,24,0,15745,0,1,3,2.0,0,-1482,178,1660,53,True,1,3,Harry Wilson,10,24,BOU,1130,1075,FUL,1050,1060,1,2023
0,0,4,0,40.9,288,0.4,0.42,0.02,0.08,244,0,0,5.5,7.4,2024-02-17 15:00:00+00:00,26,2,0,0,0,0,25,0,15317,0,2,1,7.0,0,-466,255,721,53,True,1,3,Harry Wilson,10,25,AVL,1220,1350,FUL,1050,1060,1,2023
0,0,3,1,3.8,288,0.05,0.12,0.07,0.72,258,0,0,1.1,5.8,2024-02-24 15:00:00+00:00,80,14,0,0,0,0,26,0,15179,1,2,1,1.0,2,-224,285,509,53,False,1,3,Harry Wilson,10,26,MUN,1130,1120,FUL,1180,1170,1,2023
1,3,41,1,26.2,288,0.09,0.52,0.43,1.12,264,0,1,11.8,54.6,2024-03-02 15:00:00+00:00,83,5,0,0,0,0,27,0,15170,1,0,3,37.0,14,-69,308,377,53,True,0,3,Harry Wilson,10,27,BHA,1180,1240,FUL,1050,1060,1,2023
0,0,1,0,6.0,288,0.04,0.57,0.53,0.54,280,2,0,1.3,0.0,2024-03-09 15:00:00+00:00,69,20,0,0,0,0,28,0,23967,1,1,2,9.0,2,8321,9239,918,53,False,0,3,Harry Wilson,10,28,WOL,1085,1115,FUL,1180,1170,1,2023
0,0,3,0,10.6,288,0.03,0.14,0.11,0.29,286,0,0,3.5,5.8,2024-03-16 17:30:00+00:00,18,18,0,0,0,0,29,0,36537,0,0,3,19.0,1,2063,4955,2892,53,True,0,3,Harry Wilson,10,29,TOT,1150,1310,FUL,1050,1060,1,2023
0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2024-03-30 15:00:00+00:00,0,17,0,0,0,0,30,0,25423,0,3,3,0.0,0,-562,2996,3558,53,False,0,3,Harry Wilson,10,30,SHU,1045,1020,FUL,1180,1170,1,2023
0,0,2,0,2.5,288,0.01,0.18,0.17,0.71,305,2,0,0.8,0.0,2024-04-02 18:30:00+00:00,32,16,0,0,0,0,31,0,23073,1,1,3,6.0,1,-2376,650,3026,53,False,0,3,Harry Wilson,10,31,NFO,1050,1080,FUL,1180,1170,1,2023
0,0,6,0,19.8,288,0.15,0.15,0.0,0.4,315,1,0,2.6,5.8,2024-04-06 14:00:00+00:00,25,15,0,0,0,0,32,0,20799,0,1,0,0.0,1,-2311,180,2491,53,True,0,3,Harry Wilson,10,32,NEW,1210,1355,FUL,1050,1060,1,2023
0,0,3,0,0.6,288,0.01,0.01,0.0,0.02,330,0,0,0.4,1.2,2024-04-14 13:00:00+00:00,16,19,0,0,0,0,33,0,19435,0,2,0,2.0,1,-1412,102,1514,53,False,0,3,Harry Wilson,10,33,WHU,1055,1150,FUL,1180,1170,1,2023
0,0,1,0,0.6,288,0.02,0.06,0.04,0.12,335,1,0,2.1,3.4,2024-04-21 15:30:00+00:00,19,11,0,0,0,0,34,0,18287,0,3,1,17.0,1,-1072,123,1195,53,True,0,3,Harry Wilson,10,34,LIV,1350,1390,FUL,1050,1060,1,2023
0,0,3,0,0.3,288,0.0,0.08,0.08,0.14,344,1,0,0.2,0.0,2024-04-27 14:00:00+00:00,5,8,0,0,0,0,35,0,17842,0,1,1,2.0,1,-582,137,719,53,True,0,3,Harry Wilson,10,35,CRY,1120,1085,FUL,1050,1060,1,2023
0,0,3,0,0.3,288,0.01,0.01,0.0,0.02,352,0,0,0.1,0.2,2024-05-04 14:00:00+00:00,1,4,0,0,0,0,36,0,17489,0,0,0,0.0,1,-392,59,451,53,False,0,3,Harry Wilson,10,36,BRE,1110,1090,FUL,1180,1170,1,2023
0,0,3,0,0.3,288,0.01,0.01,0.0,0.89,364,1,0,0.3,0.2,2024-05-11 11:30:00+00:00,16,13,0,0,0,0,37,0,17084,0,4,0,2.0,1,-404,164,568,53,True,0,3,Harry Wilson,10,37,MCI,1360,1370,FUL,1050,1060,1,2023
2,2,48,0,38.3,288,0.14,0.29,0.15,2.11,378,2,1,12.9,70.2,2024-05-19 15:00:00+00:00,90,12,0,0,0,0,38,0,16915,1,4,2,20.0,15,-242,156,398,53,False,0,3,Harry Wilson,10,38,LUT,1020,1090,FUL,1180,1170,1,2023
